DATETIME,TANGARA_DD66,TANGARA_25CE,TANGARA_4B1A,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_1EE6,TANGARA_2492,TANGARA_2822,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_307A,TANGARA_3782,TANGARA_F212,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-15T09:41:30-05:00,46,42,42,30,46,25,46,55,46,34,42,38,,46,,42,50,25,21,50
2023-05-15T09:42:00-05:00,46,42,42,34,46,25,50,58,50,34,42,38,46,46,,42,46,30,17,50
2023-05-15T09:42:30-05:00,46,50,42,30,58,25,50,60,50,34,42,38,42,46,,42,50,21,21,50
2023-05-15T09:43:00-05:00,42,46,46,34,58,30,46,60,46,34,42,34,38,46,,42,46,21,17,50
2023-05-15T09:43:30-05:00,42,46,38,34,58,25,46,55,42,34,42,34,42,50,,42,46,25,25,53
2023-05-15T09:44:00-05:00,42,46,42,34,53,25,46,53,46,34,42,34,46,42,,46,46,25,21,53
2023-05-15T09:44:30-05:00,42,50,46,34,46,25,50,55,50,34,42,34,50,38,,50,50,34,21,50
2023-05-15T09:45:00-05:00,42,46,46,,42,25,42,55,42,34,38,34,,46,,50,42,30,25,53
2023-05-15T09:45:30-05:00,42,50,53,34,46,25,50,55,42,34,38,34,50,46,,50,46,34,21,50
2023-05-15T09:46:00-05:00,42,53,50,34,42,25,50,53,46,34,38,38,46,50,,46,46,30,21,53
2023-05-15T09:46:30-05:00,42,50,46,30,,25,50,53,42,34,42,34,42,53,,46,50,30,21,53
2023-05-15T09:47:00-05:00,42,46,46,30,42,30,50,50,42,34,46,30,46,46,,46,46,30,21,50
2023-05-15T09:47:30-05:00,42,46,50,30,42,25,50,,46,34,50,34,46,46,,42,,38,21,50
2023-05-15T09:48:00-05:00,42,46,53,34,42,25,46,46,46,34,50,34,46,46,,42,42,25,21,50
2023-05-15T09:48:30-05:00,42,46,50,30,42,25,46,50,42,34,53,34,46,46,,42,42,34,21,50
2023-05-15T09:49:00-05:00,42,46,46,42,42,25,50,50,46,34,53,30,46,42,,46,46,34,21,46
2023-05-15T09:49:30-05:00,42,50,46,46,42,30,50,50,46,34,53,30,50,50,,46,46,34,21,50
2023-05-15T09:50:00-05:00,42,46,46,34,42,30,50,,42,34,53,34,46,46,,46,50,34,17,50
2023-05-15T09:50:30-05:00,42,53,53,60,42,30,46,46,38,34,53,30,42,46,,42,46,34,21,50
2023-05-15T09:51:00-05:00,42,46,46,46,34,30,50,42,42,34,46,30,46,42,,46,50,30,21,46
2023-05-15T09:51:30-05:00,42,46,50,34,34,30,50,46,46,34,46,34,46,46,,46,46,38,21,50
2023-05-15T09:52:00-05:00,42,50,50,38,34,30,46,50,46,34,42,30,46,46,,46,46,38,17,46
2023-05-15T09:52:30-05:00,42,46,53,42,34,30,53,42,46,34,42,34,46,42,,42,42,21,17,50
