DATETIME,TANGARA_DD66,TANGARA_25CE,TANGARA_4B1A,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_1EE6,TANGARA_2492,TANGARA_2822,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_307A,TANGARA_3782,TANGARA_F212,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-15T09:59:30-05:00,43,44,50,36,40,27,48,49,44,34,43,33,46,46,,47,48,28,20,50
2023-05-15T10:59:30-05:00,52,39,62,29,34,23,36,36,34,34,35,32,40,41,,60,48,21,22,50
2023-05-15T11:59:30-05:00,64,33,57,34,36,27,34,39,33,34,36,35,34,41,,56,54,22,21,39
2023-05-15T12:59:30-05:00,64,37,56,32,32,26,31,43,34,34,43,38,36,39,,56,53,19,21,40
2023-05-15T13:59:30-05:00,66,36,59,30,32,24,29,38,38,34,45,33,36,38,,58,38,18,19,43
2023-05-15T14:59:30-05:00,66,31,57,29,28,23,30,15,29,34,19,16,28,34,,57,30,23,20,37
2023-05-15T15:59:30-05:00,63,18,50,37,26,29,33,10,14,34,9,13,13,40,,48,36,15,21,19
2023-05-15T16:59:30-05:00,60,9,34,27,27,20,21,8,8,34,6,9,8,25,,33,18,12,18,12
2023-05-15T17:59:30-05:00,28,20,20,29,25,22,33,9,12,34,6,17,16,19,,19,15,17,20,22
2023-05-15T18:59:30-05:00,22,31,21,36,25,27,31,,21,34,12,15,18,40,,20,36,17,30,41
2023-05-15T19:59:30-05:00,25,43,17,47,33,45,55,,31,34,7,14,25,41,,16,46,26,35,27
2023-05-15T20:59:30-05:00,16,34,12,46,40,40,55,,32,34,28,25,33,41,27,12,38,33,22,39
2023-05-15T21:59:30-05:00,10,31,12,45,45,42,65,,31,34,34,36,37,28,,12,31,39,27,43
2023-05-15T22:59:30-05:00,9,26,14,49,46,48,62,,32,34,33,34,31,26,,13,28,34,37,33
2023-05-15T23:59:30-05:00,17,24,15,52,40,48,72,,29,34,34,25,25,24,,14,25,23,39,29
