DATETIME,TANGARA_DD66,TANGARA_25CE,TANGARA_4B1A,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_1EE6,TANGARA_2492,TANGARA_2822,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_307A,TANGARA_3782,TANGARA_F212,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-15T11:59:30-05:00,54,38,57,33,36,26,39,41,37,34,38,33,40,43,,55,50,24,21,46
2023-05-15T23:59:30-05:00,42,28,32,38,33,33,47,20,26,34,23,23,25,33,27,31,33,23,25,32
