DATETIME,TANGARA_25CE,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_1EE6,TANGARA_2492,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_333E,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-10T00:00:00-05:00,8.0,,,,,,8.0,,9.0,,7.0,,6.0,
2023-05-10T00:00:30-05:00,8.0,8.0,505.0,9.0,,7.0,10.0,2.0,9.0,,7.0,0.0,6.0,12.0
2023-05-10T00:01:00-05:00,7.0,8.0,111.0,9.0,,8.0,9.0,2.0,9.0,,6.0,0.0,6.0,10.0
2023-05-10T00:01:30-05:00,8.0,7.0,19.0,9.0,,8.0,9.0,3.0,9.0,,6.0,7.0,6.0,10.0
2023-05-10T00:02:00-05:00,8.0,8.0,9.0,10.0,,7.0,7.0,2.0,9.0,,7.0,7.0,6.0,9.0
2023-05-10T00:02:30-05:00,7.0,8.0,7.0,9.0,,7.0,5.0,3.0,8.0,,7.0,11.0,5.0,9.0
2023-05-10T00:03:00-05:00,8.0,8.0,7.0,10.0,,8.0,5.0,3.0,9.0,,6.0,9.0,5.0,8.0
2023-05-10T00:03:30-05:00,7.0,8.0,6.0,10.0,,8.0,6.0,3.0,9.0,,6.0,8.0,5.0,9.0
2023-05-10T00:04:00-05:00,7.0,7.0,6.0,9.0,,7.0,7.0,2.0,9.0,,7.0,9.0,5.0,8.0
2023-05-10T00:04:30-05:00,7.0,8.0,6.0,9.0,,7.0,8.0,2.0,8.0,,7.0,8.0,5.0,9.0
2023-05-10T00:05:00-05:00,7.0,8.0,8.0,9.0,,7.0,4.0,3.0,8.0,,6.0,7.0,5.0,8.0
2023-05-10T00:05:30-05:00,7.0,8.0,6.0,9.0,,8.0,5.0,2.0,8.0,,7.0,7.0,4.0,9.0
2023-05-10T00:06:00-05:00,8.0,7.0,6.0,9.0,,8.0,5.0,3.0,8.0,,8.0,6.0,5.0,8.0
2023-05-10T00:06:30-05:00,8.0,7.0,6.0,10.0,,7.0,4.0,3.0,8.0,,7.0,8.0,5.0,8.0
2023-05-10T00:07:00-05:00,7.0,8.0,6.0,9.0,,8.0,3.0,3.0,8.0,,8.0,8.0,5.0,8.0
2023-05-10T00:07:30-05:00,8.0,8.0,7.0,,,8.0,3.0,3.0,8.0,,8.0,7.0,5.0,9.0
2023-05-10T00:08:00-05:00,8.0,8.0,6.0,10.0,,7.0,3.0,3.0,8.0,,8.0,6.0,5.0,9.0
