DATETIME,TANGARA_25CE,TANGARA_260A,TANGARA_4B1A,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_2492,TANGARA_2822,TANGARA_2E9A,TANGARA_307A,TANGARA_3782,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-27T00:00:00-05:00,72,,95,,,,,,68,,68,66,62,,62,
2023-05-27T00:00:30-05:00,70,,100,,77,83,93,72,66,50,68,66,66,0,64,46
2023-05-27T00:01:00-05:00,70,,93,,77,79,98,74,68,58,64,66,66,55,60,60
2023-05-27T00:01:30-05:00,70,,95,79,77,81,113,77,70,60,68,66,68,53,60,66
2023-05-27T00:02:00-05:00,74,,95,,77,79,103,77,68,60,66,68,64,53,62,62
2023-05-27T00:02:30-05:00,72,,98,,72,81,95,70,66,60,66,70,62,53,62,66
2023-05-27T00:03:00-05:00,72,,95,,74,79,95,72,66,58,68,66,64,46,62,66
2023-05-27T00:03:30-05:00,70,,95,,74,81,95,72,68,58,66,68,64,58,62,66
2023-05-27T00:04:00-05:00,72,,100,,74,79,103,72,66,58,68,66,64,42,62,64
2023-05-27T00:04:30-05:00,70,,95,,77,79,103,70,66,60,68,68,66,38,64,68
2023-05-27T00:05:00-05:00,70,,98,,77,77,95,70,68,62,70,66,64,42,62,72
2023-05-27T00:05:30-05:00,70,,103,,77,79,98,72,,58,68,66,66,42,62,74
2023-05-27T00:06:00-05:00,70,,105,,79,77,93,72,64,58,66,70,66,60,62,74
2023-05-27T00:06:30-05:00,70,,100,,74,79,95,68,,58,68,68,66,46,62,72
2023-05-27T00:07:00-05:00,72,,98,,74,81,105,68,64,58,72,68,66,,66,72
2023-05-27T00:07:30-05:00,72,,100,,77,81,98,68,66,58,68,70,64,55,64,77
2023-05-27T00:08:00-05:00,72,,103,,77,79,100,66,66,55,70,68,66,55,64,77
2023-05-27T00:08:30-05:00,72,,100,,81,79,100,68,66,60,68,68,66,53,64,74
2023-05-27T00:09:00-05:00,72,,103,,77,79,98,66,64,58,68,70,66,53,62,74
2023-05-27T00:09:30-05:00,70,,100,,74,77,98,66,62,58,68,68,66,42,64,70
2023-05-27T00:10:00-05:00,68,,100,,77,81,98,66,64,55,70,66,68,46,62,68
2023-05-27T00:10:30-05:00,70,,100,,77,79,98,66,62,58,70,68,68,53,64,66
2023-05-27T00:11:00-05:00,68,,98,,79,81,100,66,62,58,68,68,68,50,62,70
2023-05-27T00:11:30-05:00,72,,100,,79,81,103,64,62,58,68,68,66,60,62,70
