DATETIME,TANGARA_25CE,TANGARA_260A,TANGARA_4B1A,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_2492,TANGARA_2822,TANGARA_2E9A,TANGARA_307A,TANGARA_3782,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-27T00:59:30-05:00,71,,103,79,83,81,93,68,61,57,69,69,66,55,65,75
2023-05-27T01:59:30-05:00,71,,79,,91,91,100,63,60,58,58,65,56,60,78,78
2023-05-27T02:59:30-05:00,60,,73,,98,92,119,58,62,54,58,56,58,67,75,76
2023-05-27T03:59:30-05:00,61,,85,,104,92,121,58,71,47,54,64,42,77,80,78
2023-05-27T04:59:30-05:00,54,,98,121,109,,113,58,59,32,50,59,44,82,95,100
2023-05-27T05:59:30-05:00,50,,109,121,108,119,105,55,57,32,53,61,44,53,85,90
2023-05-27T06:59:30-05:00,55,,116,,111,,112,56,93,44,55,74,55,76,77,73
2023-05-27T07:59:30-05:00,50,,121,,128,,143,67,129,81,75,62,70,84,84,98
2023-05-27T08:59:30-05:00,86,,106,,146,,160,111,146,137,87,77,93,96,82,124
2023-05-27T09:59:30-05:00,104,,104,,115,,153,124,130,139,85,114,83,85,94,139
2023-05-27T10:59:30-05:00,87,,79,,87,,131,111,98,111,80,95,92,69,76,118
2023-05-27T11:59:30-05:00,79,,68,,79,,98,96,103,98,63,77,71,71,65,90
2023-05-27T12:59:30-05:00,84,,65,80,80,,95,94,90,94,64,89,69,63,63,86
2023-05-27T13:59:30-05:00,78,,55,79,73,75,92,86,84,87,64,84,70,61,62,75
2023-05-27T14:59:30-05:00,70,,50,76,70,73,77,75,80,82,61,68,63,56,62,78
2023-05-27T15:59:30-05:00,60,,54,59,64,63,76,63,69,66,58,73,61,57,52,64
2023-05-27T16:59:30-05:00,54,,59,45,41,40,62,43,25,26,63,62,62,33,32,55
2023-05-27T17:59:30-05:00,18,,71,41,36,39,31,16,20,23,46,26,40,21,25,27
2023-05-27T18:59:30-05:00,14,,68,38,31,39,29,10,16,14,31,33,22,17,26,28
2023-05-27T19:59:30-05:00,23,,42,38,23,35,29,22,14,13,58,56,58,14,22,23
2023-05-27T20:59:30-05:00,54,40,68,33,44,40,55,29,20,13,45,67,45,25,27,25
2023-05-27T21:59:30-05:00,46,42,52,,43,51,59,52,27,15,40,56,43,38,28,41
2023-05-27T22:59:30-05:00,16,47,54,,48,44,52,43,9,8,24,24,15,24,40,28
2023-05-27T23:59:30-05:00,18,51,39,,49,36,44,34,40,13,18,21,16,36,25,23
