DATETIME,TANGARA_DD66,TANGARA_25CE,TANGARA_260A,TANGARA_4B1A,TANGARA_65F2,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_1EE6,TANGARA_2492,TANGARA_2822,TANGARA_2E9A,TANGARA_307A,TANGARA_F212,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-30T12:52:30-05:00,58,46,30,13,62,,38,21,25,46,46,42,38,46,62,50,34,13,38
2023-05-30T12:53:00-05:00,58,46,30,13,64,,42,17,25,42,46,42,38,46,60,46,30,17,38
2023-05-30T12:53:30-05:00,58,46,30,9,66,,34,17,30,42,46,38,38,42,58,42,25,13,38
2023-05-30T12:54:00-05:00,58,46,30,13,66,,38,17,25,46,46,38,34,38,60,42,53,13,34
2023-05-30T12:54:30-05:00,58,46,30,13,64,,38,17,30,38,46,42,38,38,60,42,58,13,38
2023-05-30T12:55:00-05:00,58,46,30,13,66,,34,21,25,46,46,50,38,42,60,42,58,13,42
2023-05-30T12:55:30-05:00,58,42,30,13,66,,34,25,25,42,46,46,38,34,58,42,38,17,38
2023-05-30T12:56:00-05:00,58,46,25,9,64,,34,21,30,42,42,46,38,34,58,42,25,13,34
2023-05-30T12:56:30-05:00,58,46,30,13,66,,38,21,30,42,46,46,34,34,62,38,17,13,38
2023-05-30T12:57:00-05:00,58,46,25,13,66,,38,25,30,46,46,46,38,30,62,42,17,13,34
2023-05-30T12:57:30-05:00,58,46,25,9,66,,34,21,25,46,46,42,34,38,60,42,30,17,38
2023-05-30T12:58:00-05:00,58,50,25,13,66,,34,21,25,42,42,58,38,46,62,38,21,13,34
2023-05-30T12:58:30-05:00,58,46,25,9,66,,30,21,25,42,42,60,38,38,62,42,25,13,38
2023-05-30T14:13:30-05:00,55,30,25,17,62,,30,25,25,42,34,34,30,38,55,38,13,25,38
2023-05-30T14:14:00-05:00,55,34,25,17,62,,34,25,25,46,34,30,30,38,55,34,13,21,34
2023-05-30T14:14:30-05:00,55,34,25,13,62,,25,25,21,42,34,30,30,42,58,34,25,21,38
2023-05-30T14:15:00-05:00,55,30,21,13,62,,25,25,25,46,34,30,30,38,55,38,17,21,34
2023-05-30T14:15:30-05:00,55,34,25,13,64,,25,25,25,50,34,34,25,38,58,38,17,21,34
