DATETIME,TANGARA_DD66,TANGARA_25CE,TANGARA_4B1A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_1EE6,TANGARA_2492,TANGARA_2822,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_307A,TANGARA_F212,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-13T00:00:00-05:00,46,,34,,,,9,,34,66,,53,21,34,21,,34,
2023-05-13T00:00:30-05:00,46,60,34,46,46,34,9,64,34,62,9,55,21,30,21,0,30,
2023-05-13T00:01:00-05:00,46,60,38,46,50,21,9,62,34,62,9,58,21,34,21,0,34,55
2023-05-13T00:01:30-05:00,46,60,34,46,50,21,9,64,34,62,9,55,21,30,17,30,38,53
2023-05-13T00:02:00-05:00,46,,34,42,46,25,9,66,34,64,9,55,21,34,17,30,34,53
2023-05-13T00:02:30-05:00,46,58,34,42,50,25,9,64,34,62,9,55,21,34,17,25,34,58
2023-05-13T00:03:00-05:00,46,,34,42,50,25,9,62,34,60,9,53,21,34,17,25,34,55
2023-05-13T00:03:30-05:00,46,60,30,42,46,21,9,62,34,62,9,55,21,34,21,25,34,55
2023-05-13T00:04:00-05:00,46,,34,42,46,21,9,62,34,58,9,55,25,34,21,21,30,58
2023-05-13T00:04:30-05:00,46,,34,42,46,21,9,64,34,58,9,58,25,34,17,34,30,60
2023-05-13T00:05:00-05:00,46,60,38,46,42,21,,64,34,58,9,58,21,30,17,25,30,62
2023-05-13T00:05:30-05:00,46,,38,42,50,21,9,64,34,58,9,58,25,30,17,30,30,60
2023-05-13T00:06:00-05:00,46,,34,50,46,21,9,64,34,60,9,58,25,30,21,30,34,62
2023-05-13T00:06:30-05:00,46,60,34,42,46,21,9,64,34,60,9,58,25,34,21,30,34,60
2023-05-13T00:07:00-05:00,46,60,34,42,46,21,9,62,34,62,9,60,25,34,21,21,30,62
2023-05-13T00:07:30-05:00,46,,34,50,53,21,9,66,34,64,9,60,21,34,17,34,30,60
2023-05-13T00:08:00-05:00,46,60,34,46,53,21,9,,34,60,9,58,25,34,17,21,30,60
2023-05-13T00:08:30-05:00,46,60,34,46,50,21,9,,34,62,9,60,21,34,21,21,30,62
2023-05-13T00:09:30-05:00,46,58,34,42,46,21,9,,34,62,9,60,25,30,21,30,34,64
2023-05-13T00:10:00-05:00,46,58,34,42,46,25,9,,34,62,9,60,21,30,17,21,34,62
2023-05-13T00:10:30-05:00,46,58,30,46,50,21,13,,34,62,9,58,21,34,21,25,30,62
2023-05-13T00:11:00-05:00,46,58,30,46,50,21,13,,34,58,9,58,21,30,17,21,30,62
2023-05-13T00:11:30-05:00,46,58,30,46,50,21,9,,34,62,9,58,21,30,17,17,30,60
2023-05-13T00:12:00-05:00,46,58,34,46,50,21,13,,34,64,9,58,21,30,21,30,34,60
2023-05-13T00:12:30-05:00,46,60,30,42,42,21,13,,34,64,9,58,21,34,17,34,30,62
2023-05-13T00:13:00-05:00,46,60,34,46,46,21,13,66,34,64,9,58,21,34,21,34,30,62
2023-05-13T00:13:30-05:00,46,55,34,46,42,21,13,64,34,64,9,58,21,34,21,30,25,62
2023-05-13T00:14:00-05:00,46,53,34,42,46,25,13,66,34,60,9,64,21,34,21,30,25,62
2023-05-13T00:14:30-05:00,46,55,34,42,46,25,13,64,34,64,9,62,21,34,21,25,30,62
2023-05-13T00:15:00-05:00,46,53,34,42,46,21,9,64,34,62,9,60,21,30,21,34,30,60
2023-05-13T00:15:30-05:00,46,58,34,46,42,17,13,,34,64,9,60,21,34,21,25,30,64
2023-05-13T00:16:00-05:00,46,60,34,46,38,21,13,66,34,58,9,60,21,34,21,21,34,62
2023-05-13T00:16:30-05:00,46,58,38,46,42,21,13,,34,58,9,58,21,34,21,21,30,62
2023-05-13T00:17:00-05:00,46,58,34,42,42,21,13,66,34,62,9,58,21,34,21,,30,62
2023-05-13T00:17:30-05:00,46,58,38,46,38,21,13,,34,60,9,58,21,34,25,17,34,62
2023-05-13T00:18:00-05:00,46,58,34,46,42,25,13,66,34,60,21,60,21,34,21,25,30,60
2023-05-13T00:18:30-05:00,46,58,34,46,42,25,13,64,34,60,21,58,21,34,21,21,34,62
2023-05-13T00:19:00-05:00,46,58,34,46,42,21,17,66,34,62,13,62,17,30,25,21,30,62
2023-05-13T00:19:30-05:00,46,58,34,46,42,25,17,66,34,60,13,60,17,34,21,17,30,64
2023-05-13T00:20:00-05:00,46,55,38,46,42,21,13,66,34,58,13,62,21,30,25,13,30,62
2023-05-13T00:20:30-05:00,46,55,34,50,42,21,17,66,34,55,21,62,17,30,25,17,30,62
2023-05-13T00:21:00-05:00,46,53,30,46,42,21,17,,34,58,25,60,21,30,21,13,34,62
2023-05-13T00:21:30-05:00,46,53,34,50,42,21,17,66,34,53,21,60,21,34,21,17,34,62
2023-05-13T00:22:00-05:00,46,55,34,46,42,25,21,66,34,55,17,62,21,34,25,13,38,62
2023-05-13T00:22:30-05:00,46,55,38,46,42,21,17,66,34,55,13,60,17,34,21,17,34,60
2023-05-13T00:23:00-05:00,46,55,34,46,42,21,17,66,34,58,13,60,21,34,25,17,30,60
2023-05-13T00:23:30-05:00,46,55,34,46,38,21,17,,34,58,17,60,21,34,25,21,34,60
2023-05-13T00:24:00-05:00,46,55,34,46,42,21,17,,34,55,34,62,21,34,30,17,34,62
2023-05-13T00:24:30-05:00,46,55,38,46,38,21,17,66,34,53,38,62,21,34,25,13,30,60
2023-05-13T00:25:00-05:00,46,55,38,42,42,25,17,66,34,53,30,62,25,34,25,13,30,62
2023-05-13T00:26:00-05:00,46,58,34,38,,25,17,64,34,50,17,60,21,34,25,21,38,58
2023-05-13T00:26:30-05:00,46,53,34,42,42,25,17,66,34,50,38,60,21,34,30,21,42,60
2023-05-13T00:27:00-05:00,46,53,34,42,42,25,17,,34,50,25,62,21,34,30,21,38,60
2023-05-13T00:27:30-05:00,46,53,34,38,42,25,17,66,34,50,21,58,25,30,25,13,34,62
2023-05-13T00:28:00-05:00,46,53,34,38,42,21,21,64,34,53,17,60,21,34,25,25,38,60
2023-05-13T00:28:30-05:00,46,55,38,46,42,25,17,66,34,53,13,60,25,34,25,17,38,62
2023-05-13T00:29:00-05:00,46,55,34,38,38,25,17,64,34,55,17,60,25,34,30,17,42,58
2023-05-13T00:29:30-05:00,46,55,34,38,42,21,21,66,34,53,42,60,25,34,30,13,38,60
2023-05-13T00:30:00-05:00,46,55,34,38,46,21,21,62,34,53,46,62,25,30,30,17,38,58
2023-05-13T00:30:30-05:00,46,55,34,42,42,17,21,64,34,53,25,60,30,30,30,21,38,60
2023-05-13T00:31:00-05:00,46,53,34,38,42,25,21,62,34,50,21,60,25,34,30,17,38,60
2023-05-13T00:31:30-05:00,46,55,34,38,42,21,21,,34,53,17,58,30,34,30,13,38,60
2023-05-13T00:32:00-05:00,46,55,30,38,42,25,25,66,34,50,17,60,30,30,30,17,34,60
