DATETIME,TANGARA_2BBA,TANGARA_14D6,TANGARA_1FCA,TANGARA_2492,TANGARA_2FF6,TANGARA_48C6,TANGARA_4D7A,TANGARA_532E,TANGARA_EA06,TANGARA_F1AE,TANGARA_FAC6,TANGARA_06BE
2022-09-17 04:54:30,60,67,67,43,54,40,6,21,32,53,25,58
2022-09-17 12:54:30,63,69,74,57,64,44,9,32,55,59,40,65
2022-09-17 20:54:30,45,52,57,49,48,36,13,41,65,56,52,53
