DATETIME,TANGARA_DD66,TANGARA_25CE,TANGARA_4B1A,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_1EE6,TANGARA_2492,TANGARA_2822,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_307A,TANGARA_F212,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-12T11:11:00-05:00,0.0,0.0,81.9,,48.98,53.7,40.51,60.68,54.4,,63.08,56.32,62.78,,,,93.2,52.67,52.6
2023-05-12T11:11:30-05:00,0.0,0.0,82.05,,47.57,53.73,39.97,60.62,54.28,,62.62,56.09,61.29,,70.87,66.97,93.1,52.31,53.69
2023-05-12T11:12:00-05:00,0.0,0.0,82.01,,47.74,53.67,40.15,60.59,54.29,,62.85,55.24,61.05,,70.62,67.17,93.1,52.26,53.31
2023-05-12T11:12:30-05:00,0.0,0.0,81.9,,49.41,53.66,39.61,60.56,54.61,,62.76,55.84,60.51,,70.28,66.94,93.1,52.29,53.3
2023-05-12T11:13:00-05:00,0.0,0.0,81.91,,,53.57,39.59,60.56,54.68,,62.81,54.62,62.49,,70.62,68.1,93.1,52.3,52.89
2023-05-12T11:13:30-05:00,0.0,0.0,81.8,,49.2,53.53,40.83,60.54,54.96,,63.16,56.09,62.49,53.42,70.53,68.43,93.0,52.34,53.26
2023-05-12T11:14:00-05:00,0.0,0.0,81.67,,49.25,53.42,40.8,60.54,55.0,,62.89,56.55,62.28,53.07,69.92,67.8,93.0,52.34,52.84
2023-05-12T11:14:30-05:00,0.0,0.0,81.57,,48.84,53.41,41.57,60.52,55.29,,63.07,54.78,62.57,52.24,68.97,68.08,92.9,52.34,52.78
2023-05-12T11:15:30-05:00,0.0,0.0,81.49,,48.97,53.43,41.56,60.44,55.14,,,55.06,61.03,53.16,70.11,67.16,92.8,51.86,53.08
2023-05-12T11:16:00-05:00,0.0,0.0,81.1,,49.32,53.44,,60.47,55.23,,62.74,55.62,62.65,52.47,67.08,67.69,92.7,51.68,53.04
