DATETIME,TANGARA_4B1A,TANGARA_14D6,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_307A,TANGARA_1712,TANGARA_48C6,TANGARA_532E,TANGARA_F1AE,TANGARA_06BE
2023-10-31 00:00:00-05:00,,,11.0,,,,,,10.0,13.0,
2023-10-31 00:00:30-05:00,,14.0,12.0,10.0,14.0,9.0,11.0,7.0,11.0,13.0,19.0
2023-10-31 00:01:00-05:00,,17.0,12.0,12.0,13.0,11.0,10.0,7.0,11.0,13.0,17.0
2023-10-31 00:01:30-05:00,,16.0,12.0,11.0,13.0,11.0,9.0,8.0,11.0,13.0,18.0
2023-10-31 00:02:00-05:00,,17.0,12.0,12.0,12.0,11.0,9.0,8.0,11.0,13.0,16.0
2023-10-31 00:02:30-05:00,,17.0,12.0,12.0,12.0,10.0,9.0,8.0,9.0,13.0,18.0
2023-10-31 00:03:00-05:00,,16.0,12.0,,13.0,11.0,9.0,8.0,11.0,13.0,17.0
2023-10-31 00:03:30-05:00,,17.0,12.0,,14.0,11.0,8.0,9.0,9.0,13.0,17.0
2023-10-31 00:04:00-05:00,,17.0,11.0,,13.0,10.0,8.0,8.0,11.0,13.0,17.0
2023-10-31 00:04:30-05:00,,17.0,11.0,,13.0,10.0,8.0,8.0,12.0,12.0,17.0
2023-10-31 00:05:00-05:00,,17.0,13.0,,13.0,10.0,9.0,8.0,10.0,12.0,17.0
2023-10-31 00:05:30-05:00,,17.0,12.0,11.0,12.0,9.0,10.0,9.0,12.0,12.0,17.0
2023-10-31 00:06:00-05:00,,17.0,12.0,9.0,13.0,9.0,9.0,9.0,12.0,12.0,17.0
2023-10-31 00:06:30-05:00,,16.0,13.0,12.0,14.0,10.0,9.0,9.0,12.0,12.0,18.0
2023-10-31 00:07:00-05:00,,16.0,13.0,11.0,13.0,10.0,8.0,8.0,9.0,12.0,17.0
2023-10-31 00:07:30-05:00,,16.0,13.0,9.0,12.0,9.0,9.0,8.0,12.0,12.0,17.0
2023-10-31 00:08:00-05:00,,17.0,13.0,11.0,12.0,10.0,8.0,7.0,12.0,14.0,17.0
2023-10-31 00:08:30-05:00,,15.0,11.0,14.0,12.0,10.0,9.0,10.0,11.0,13.0,17.0
2023-10-31 00:09:00-05:00,,17.0,12.0,13.0,12.0,10.0,8.0,11.0,10.0,13.0,17.0
2023-10-31 00:09:30-05:00,,17.0,13.0,12.0,14.0,11.0,8.0,6.0,14.0,12.0,16.0
2023-10-31 00:10:00-05:00,,17.0,12.0,14.0,13.0,9.0,8.0,7.0,11.0,12.0,16.0
