DATETIME,TANGARA_4B1A,TANGARA_14D6,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_307A,TANGARA_1712,TANGARA_48C6,TANGARA_532E,TANGARA_F1AE,TANGARA_06BE
2023-11-01 00:00:00-05:00,36.0,40.0,42.0,38.0,38.0,36.0,31.0,28.0,37.0,32.0,51.0
2023-11-01 01:00:00-05:00,36.0,41.0,41.0,38.0,37.0,36.0,31.0,27.0,36.0,32.0,50.0
2023-11-01 02:00:00-05:00,36.0,41.0,40.0,37.0,36.0,35.0,30.0,26.0,35.0,33.0,49.0
2023-11-01 03:00:00-05:00,37.0,41.0,39.0,36.0,36.0,34.0,29.0,26.0,35.0,33.0,48.0
2023-11-01 04:00:00-05:00,38.0,42.0,38.0,36.0,35.0,33.0,29.0,25.0,34.0,33.0,48.0
2023-11-01 05:00:00-05:00,38.0,43.0,38.0,36.0,35.0,32.0,28.0,26.0,34.0,34.0,48.0
2023-11-01 06:00:00-05:00,37.0,42.0,38.0,36.0,34.0,32.0,28.0,26.0,34.0,34.0,48.0
2023-11-01 07:00:00-05:00,36.0,42.0,38.0,36.0,33.0,31.0,27.0,26.0,34.0,33.0,46.0
2023-11-01 08:00:00-05:00,35.0,40.0,35.0,34.0,32.0,31.0,27.0,24.0,33.0,32.0,44.0
2023-11-01 09:00:00-05:00,33.0,36.0,33.0,33.0,31.0,29.0,26.0,23.0,31.0,29.0,43.0
2023-11-01 10:00:00-05:00,30.0,33.0,31.0,31.0,31.0,28.0,25.0,22.0,29.0,27.0,42.0
2023-11-01 11:00:00-05:00,29.0,30.0,31.0,31.0,30.0,27.0,24.0,20.0,28.0,25.0,41.0
2023-11-01 12:00:00-05:00,29.0,28.0,29.0,29.0,29.0,26.0,22.0,20.0,25.0,24.0,40.0
2023-11-01 13:00:00-05:00,30.0,23.0,27.0,26.0,28.0,25.0,22.0,20.0,23.0,20.0,39.0
2023-11-01 14:00:00-05:00,30.0,22.0,28.0,26.0,28.0,25.0,22.0,20.0,23.0,19.0,40.0
2023-11-01 15:00:00-05:00,31.0,22.0,28.0,28.0,28.0,25.0,20.0,21.0,25.0,19.0,40.0
2023-11-01 16:00:00-05:00,33.0,24.0,30.0,28.0,28.0,25.0,20.0,21.0,28.0,20.0,41.0
2023-11-01 17:00:00-05:00,35.0,25.0,31.0,29.0,28.0,25.0,19.0,22.0,30.0,21.0,42.0
2023-11-01 18:00:00-05:00,36.0,27.0,31.0,31.0,26.0,24.0,19.0,23.0,32.0,23.0,40.0
2023-11-01 19:00:00-05:00,38.0,29.0,29.0,28.0,24.0,24.0,19.0,21.0,31.0,25.0,38.0
2023-11-01 20:00:00-05:00,41.0,31.0,27.0,24.0,23.0,24.0,19.0,19.0,26.0,26.0,36.0
2023-11-01 21:00:00-05:00,38.0,28.0,25.0,21.0,23.0,25.0,21.0,18.0,21.0,23.0,34.0
2023-11-01 22:00:00-05:00,36.0,23.0,25.0,19.0,23.0,30.0,24.0,18.0,19.0,18.0,36.0
2023-11-01 23:00:00-05:00,40.0,24.0,22.0,18.0,26.0,32.0,26.0,21.0,20.0,19.0,42.0
