DATETIME,TANGARA_4B1A,TANGARA_14D6,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_307A,TANGARA_1712,TANGARA_48C6,TANGARA_532E,TANGARA_F1AE,TANGARA_06BE
2023-11-01 00:00:30-05:00,73.75,69.33,69.64,62.14,82.6,70.64,76.82,99.9,99.9,63.87,73.77
2023-11-01 00:01:00-05:00,73.72,69.42,69.7,62.0,83.26,70.71,76.88,99.9,99.9,63.89,73.56
2023-11-01 00:01:30-05:00,73.8,69.58,69.79,61.9,83.42,70.67,77.09,99.9,99.9,63.78,73.84
2023-11-01 00:02:00-05:00,73.76,69.69,70.02,61.93,83.51,70.83,77.24,99.9,99.9,63.77,73.61
2023-11-01 00:02:30-05:00,73.81,69.7,70.06,62.36,83.57,70.85,76.71,99.9,99.9,63.74,73.22
2023-11-01 00:03:00-05:00,73.8,69.72,70.04,61.83,83.89,70.92,76.95,99.9,99.9,63.77,73.13
2023-11-01 00:03:30-05:00,73.75,69.73,70.13,61.86,84.14,70.95,76.93,99.9,99.9,63.79,73.23
2023-11-01 00:04:00-05:00,73.74,69.78,70.16,62.81,84.41,71.12,76.59,99.9,99.9,63.81,73.82
2023-11-01 00:04:30-05:00,73.76,69.81,70.14,62.33,84.68,71.17,76.73,99.9,99.9,63.79,73.99
2023-11-01 00:05:00-05:00,73.77,69.77,70.16,62.29,84.51,71.22,76.72,99.9,99.9,63.8,73.88
2023-11-01 00:05:30-05:00,73.8,69.75,70.21,62.73,84.79,71.22,77.26,99.9,99.9,63.79,73.86
2023-11-01 00:06:00-05:00,73.8,69.72,70.18,62.22,84.8,71.29,76.76,99.9,99.9,63.74,73.86
2023-11-01 00:06:30-05:00,73.76,69.62,70.09,62.7,84.57,71.32,76.69,99.9,99.9,63.65,74.05
2023-11-01 00:07:00-05:00,73.77,69.62,70.07,62.7,83.91,71.27,76.75,99.9,99.9,63.58,73.53
2023-11-01 00:07:30-05:00,73.78,69.78,70.04,62.95,83.3,71.16,76.66,99.9,99.9,63.58,73.81
2023-11-01 00:08:00-05:00,73.82,69.83,70.0,63.06,83.49,71.3,76.71,99.9,99.9,63.57,74.23
2023-11-01 00:08:30-05:00,73.77,69.96,,62.97,83.9,71.27,76.83,99.9,99.9,63.57,74.28
2023-11-01 00:09:00-05:00,73.77,70.06,69.95,63.07,83.93,71.26,76.95,99.9,99.9,63.53,74.13
2023-11-01 00:09:30-05:00,73.74,70.02,69.94,62.75,84.3,71.2,76.97,99.9,99.9,63.46,74.02
2023-11-01 00:10:00-05:00,73.77,70.08,69.93,62.26,84.63,71.3,76.91,99.9,99.9,63.41,73.85
2023-11-01 00:10:30-05:00,73.75,70.11,69.95,62.29,84.2,71.01,76.85,99.9,99.9,63.41,73.78
2023-11-01 00:11:00-05:00,73.68,70.31,69.88,62.81,83.43,71.18,76.88,99.9,99.9,63.42,73.68
2023-11-01 00:11:30-05:00,73.67,70.45,69.93,62.09,83.98,71.0,76.82,,99.9,63.38,73.66
2023-11-01 00:12:00-05:00,73.71,70.62,69.88,62.22,84.32,71.12,76.9,99.9,99.9,63.2,73.11
2023-11-01 00:12:30-05:00,73.72,70.68,69.85,62.37,84.08,71.13,76.99,99.9,99.9,63.15,73.47
2023-11-01 00:13:00-05:00,73.76,70.8,69.83,62.13,83.27,71.19,76.94,99.9,99.9,63.1,73.53
2023-11-01 00:13:30-05:00,73.77,70.83,69.88,61.85,83.1,,77.0,99.9,99.9,63.13,73.58
2023-11-01 00:14:00-05:00,73.76,70.78,69.76,62.35,83.18,71.19,77.26,99.9,99.9,63.06,74.21
2023-11-01 00:14:30-05:00,73.81,70.88,69.71,62.18,82.73,71.18,77.05,99.9,99.9,63.04,74.07
2023-11-01 00:15:00-05:00,73.85,70.85,69.79,62.2,83.23,71.08,77.25,99.9,99.9,63.0,73.52
2023-11-01 00:15:30-05:00,73.86,70.83,69.71,62.33,83.86,71.01,77.14,99.9,99.9,62.93,73.43
2023-11-01 00:16:00-05:00,73.88,70.81,69.62,,83.81,71.02,77.22,99.9,99.9,62.92,73.94
2023-11-01 00:16:30-05:00,73.89,70.83,69.58,62.08,84.12,70.97,77.27,99.9,99.9,62.92,73.57
2023-11-01 00:17:00-05:00,73.93,70.79,69.55,62.55,83.95,71.03,77.4,99.9,99.9,62.95,73.84
2023-11-01 00:17:30-05:00,73.97,70.76,69.6,61.93,83.66,71.06,77.43,99.9,99.9,62.99,74.55
2023-11-01 00:18:00-05:00,73.88,70.76,69.49,62.22,83.41,71.06,77.54,99.9,99.9,62.98,74.35
2023-11-01 00:18:30-05:00,73.93,70.79,69.56,62.18,83.55,71.13,77.55,99.9,99.9,63.01,74.25
2023-11-01 00:19:00-05:00,73.95,70.73,69.47,62.19,83.76,71.17,77.55,99.9,99.9,63.17,73.93
2023-11-01 00:19:30-05:00,73.98,70.77,69.41,62.11,83.15,71.1,77.91,99.9,99.9,63.38,74.07
2023-11-01 00:20:00-05:00,74.02,70.78,69.38,62.36,82.9,71.21,77.65,99.9,99.9,63.51,74.29
2023-11-01 00:20:30-05:00,74.09,70.73,69.34,62.35,82.74,71.16,77.66,99.9,99.9,63.64,74.27
2023-11-01 00:21:00-05:00,74.29,70.71,69.4,62.45,83.31,71.24,77.6,,99.9,63.71,74.32
2023-11-01 00:21:30-05:00,74.48,70.75,69.48,62.89,83.34,71.22,77.77,99.9,99.9,63.85,74.38
2023-11-01 00:22:00-05:00,74.44,70.64,69.42,62.77,82.78,71.17,77.87,99.9,99.9,63.91,74.29
2023-11-01 00:22:30-05:00,74.32,70.68,69.72,62.82,82.77,71.26,77.86,99.9,99.9,63.86,74.38
2023-11-01 00:23:00-05:00,74.32,70.6,69.76,62.16,82.39,71.29,77.73,99.9,99.9,63.8,74.16
2023-11-01 00:23:30-05:00,74.38,70.65,69.76,61.61,82.5,71.2,77.6,99.9,99.9,63.83,74.12
2023-11-01 00:24:00-05:00,74.44,70.6,69.73,61.69,82.35,71.18,77.65,99.9,99.9,63.99,74.61
2023-11-01 00:24:30-05:00,74.54,70.6,69.97,61.87,82.25,71.25,77.7,99.9,99.9,63.91,74.2
2023-11-01 00:25:00-05:00,74.46,70.7,70.13,62.06,82.54,71.3,77.68,99.9,99.9,63.93,74.0
2023-11-01 00:25:30-05:00,74.34,70.52,70.2,62.28,82.29,,77.81,99.9,99.9,63.98,74.04
2023-11-01 00:26:00-05:00,74.38,70.62,70.43,62.29,82.78,71.43,77.73,99.9,99.9,64.03,74.08
