DATETIME,TANGARA_DD66,TANGARA_25CE,TANGARA_4B1A,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_2492,TANGARA_2822,TANGARA_2B42,TANGARA_2E9A,TANGARA_307A,TANGARA_3782,TANGARA_F212,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-18T11:59:30-05:00,46,64,31,66,84,74,122,67,34,77,63,55,85,28,56,68,65,90
2023-05-18T23:59:30-05:00,46,39,47,37,33,34,62,29,34,26,21,45,43,43,67,21,27,49
