DATETIME,TANGARA_25CE,TANGARA_260A,TANGARA_4B1A,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_1EE6,TANGARA_2492,TANGARA_2822,TANGARA_2E9A,TANGARA_307A,TANGARA_3782,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-28T00:38:30-05:00,38,30,34,,25,46,38,,,30,25,25,,34,17,25,34
2023-05-28T00:39:00-05:00,38,34,38,,25,46,42,,,30,25,25,,34,17,25,34
2023-05-28T00:39:30-05:00,38,34,46,,30,46,38,,,30,21,25,,34,17,25,34
2023-05-28T00:40:00-05:00,38,34,46,,25,42,38,,,30,25,25,,30,17,30,34
2023-05-28T00:40:30-05:00,38,34,42,,30,42,38,,,38,25,25,,30,17,30,34
2023-05-28T00:41:00-05:00,38,30,42,,30,38,38,,,38,21,25,,30,25,25,34
2023-05-28T00:41:30-05:00,38,30,42,,25,38,,,,46,25,25,,30,25,25,34
2023-05-28T00:42:00-05:00,38,30,38,,30,34,38,,,60,25,25,,25,21,30,34
2023-05-28T00:42:30-05:00,38,38,38,,30,34,38,,,60,30,21,,25,21,25,30
2023-05-28T00:43:00-05:00,42,30,38,,25,34,38,,,46,25,21,,25,25,25,30
2023-05-28T00:43:30-05:00,38,30,34,,30,34,,,,34,25,21,,17,17,25,34
2023-05-28T00:44:00-05:00,38,34,34,,25,38,38,,,30,25,21,,17,21,25,34
2023-05-28T00:44:30-05:00,38,30,38,,25,38,42,,,30,25,21,,21,21,25,34
2023-05-28T00:45:00-05:00,38,34,38,,25,34,38,,,30,25,21,,25,21,30,34
2023-05-28T00:45:30-05:00,42,30,38,,30,34,38,,,30,21,21,,30,25,30,34
2023-05-28T00:46:00-05:00,38,30,38,,30,34,34,,,30,25,21,,25,13,25,34
2023-05-28T00:46:30-05:00,42,30,42,,30,34,38,,,25,25,21,,25,13,25,34
2023-05-28T00:47:00-05:00,42,30,42,,30,34,38,,,30,25,21,,25,21,25,34
2023-05-28T00:47:30-05:00,38,30,42,,25,30,38,,,30,25,21,,30,21,21,34
2023-05-28T00:48:00-05:00,38,30,50,,30,34,42,,,30,25,21,,25,21,21,38
2023-05-28T00:48:30-05:00,38,30,46,,25,30,42,,,30,25,21,,30,21,21,38
2023-05-28T00:49:00-05:00,42,30,34,,30,30,42,,,30,21,25,,30,17,25,38
2023-05-28T00:49:30-05:00,38,25,34,,30,34,38,,,30,25,21,,25,17,25,38
2023-05-28T00:50:00-05:00,42,30,34,,34,30,42,,,30,25,25,,30,17,25,34
2023-05-28T00:50:30-05:00,38,30,34,,30,34,46,,,30,25,25,,25,21,25,34
2023-05-28T00:51:00-05:00,34,34,34,,30,30,42,,,30,25,25,,25,21,25,34
2023-05-28T00:51:30-05:00,42,34,34,,30,30,42,,,34,25,25,,30,21,21,34
2023-05-28T00:52:00-05:00,38,30,34,,25,30,46,,,30,25,30,,30,21,25,34
2023-05-28T00:52:30-05:00,38,25,34,,25,30,46,,,34,25,30,,25,21,25,34
2023-05-28T00:53:00-05:00,38,30,38,,30,30,50,,,30,25,30,,30,25,25,30
2023-05-28T00:53:30-05:00,42,25,34,,30,30,53,,,30,25,30,,30,30,21,34
2023-05-28T00:54:00-05:00,42,25,38,,25,25,50,,,30,34,30,,30,30,25,34
2023-05-28T00:54:30-05:00,38,34,34,,30,30,50,,,30,30,25,,30,21,25,34
2023-05-28T00:55:00-05:00,34,30,30,,25,30,53,,,30,25,30,,30,17,25,34
2023-05-28T00:55:30-05:00,42,30,34,,30,30,55,,,30,30,30,,25,21,,34
2023-05-28T00:56:00-05:00,34,30,34,,30,34,55,,,30,21,30,,30,25,21,34
2023-05-28T00:56:30-05:00,38,30,38,,30,30,55,,,30,25,34,,30,17,21,38
2023-05-28T00:57:00-05:00,38,30,34,,30,30,53,,,30,25,30,,30,17,21,34
2023-05-28T00:57:30-05:00,38,30,34,,30,30,55,,,30,25,34,,30,21,25,34
2023-05-28T00:58:00-05:00,38,30,38,,30,25,53,,,30,21,34,,30,21,21,38
2023-05-28T00:58:30-05:00,38,30,38,,30,30,53,,,30,21,30,,34,21,25,34
2023-05-28T00:59:00-05:00,42,25,42,,30,30,55,,,30,21,30,,30,21,21,34
2023-05-28T00:59:30-05:00,38,25,,,25,30,53,,,30,25,34,,30,21,21,38
2023-05-28T01:00:00-05:00,38,30,34,,30,30,50,,,34,25,30,,30,25,21,38
2023-05-28T01:00:30-05:00,42,30,34,,30,30,53,,,30,25,34,,30,17,21,38
2023-05-28T01:01:00-05:00,42,30,38,,30,30,50,,,30,25,30,,25,21,21,38
2023-05-28T01:01:30-05:00,42,25,34,,30,30,46,,,30,21,34,,30,13,21,38
2023-05-28T01:02:00-05:00,42,34,34,,30,30,46,,,30,25,34,,34,25,25,34
2023-05-28T01:02:30-05:00,38,30,38,,30,30,46,,,38,21,30,,34,21,21,34
2023-05-28T01:03:00-05:00,42,30,,,34,30,42,,,30,25,30,,30,25,21,34
2023-05-28T01:03:30-05:00,42,25,38,,34,30,46,,,30,25,34,,34,25,21,34
2023-05-28T01:04:00-05:00,42,25,38,,34,30,46,,,30,25,30,,34,25,25,38
