DATETIME,TANGARA_25CE,TANGARA_260A,TANGARA_4B1A,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_1EE6,TANGARA_2492,TANGARA_2822,TANGARA_2E9A,TANGARA_307A,TANGARA_3782,TANGARA_F212,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-29T07:58:30-05:00,23,23,29,15,38,39,46,18,21,28,20,23,30,,25,23,36,25
2023-05-29T15:58:30-05:00,48,16,33,31,59,47,55,18,46,56,47,44,49,,41,38,38,48
2023-05-29T23:58:30-05:00,36,19,22,29,20,27,37,9,20,17,12,31,31,14,35,14,21,28
