DATETIME,TANGARA_25CE,TANGARA_260A,TANGARA_4B1A,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_1EE6,TANGARA_2492,TANGARA_2822,TANGARA_2E9A,TANGARA_307A,TANGARA_3782,TANGARA_F212,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-29T00:00:30-05:00,46,30,25,9,9,21,25,13,,17,13,17,17,,62,0,13,21
2023-05-29T00:01:00-05:00,21,17,,,21,21,30,13,17,17,17,21,17,,38,0,13,21
2023-05-29T00:01:30-05:00,17,21,,,17,17,30,13,17,21,13,25,17,,38,9,13,21
2023-05-29T00:02:00-05:00,17,17,60,,17,17,30,13,17,21,17,17,17,,42,9,13,17
2023-05-29T00:02:30-05:00,21,21,58,,17,21,30,13,17,17,13,17,17,,42,9,13,17
2023-05-29T00:03:00-05:00,21,21,53,,21,21,34,13,17,17,17,17,17,,53,9,13,17
2023-05-29T00:03:30-05:00,17,21,53,,17,21,30,9,17,25,17,21,17,,50,9,13,17
2023-05-29T00:04:00-05:00,13,21,55,,17,17,30,13,17,30,17,17,17,,50,13,17,17
2023-05-29T00:04:30-05:00,17,21,50,,17,17,25,13,17,21,21,21,17,,58,9,13,17
2023-05-29T00:05:00-05:00,17,17,46,,17,17,25,13,17,21,21,21,17,,58,9,13,17
2023-05-29T00:05:30-05:00,17,17,50,,17,17,25,13,17,21,17,21,17,,66,13,13,17
2023-05-29T00:06:00-05:00,13,17,50,,17,17,25,13,17,21,17,17,17,,,13,13,17
2023-05-29T00:06:30-05:00,17,17,53,,17,17,25,13,17,21,17,17,17,,,9,13,17
2023-05-29T00:07:00-05:00,17,17,53,,21,17,34,,17,25,13,17,17,,,21,13,17
2023-05-29T00:07:30-05:00,13,17,55,,17,17,38,13,17,21,17,13,17,,,17,17,17
2023-05-29T00:08:00-05:00,17,17,55,,17,17,42,13,17,21,17,17,17,,,17,13,17
2023-05-29T00:08:30-05:00,17,17,55,,13,17,46,,17,21,17,21,17,,,13,13,17
2023-05-29T00:09:00-05:00,17,17,50,,13,17,46,13,17,21,17,21,17,,,17,17,17
2023-05-29T00:09:30-05:00,17,17,50,,17,17,,17,17,17,17,17,17,,,17,13,17
2023-05-29T00:10:00-05:00,13,17,46,,17,17,38,13,17,,17,17,13,,,25,13,17
2023-05-29T00:10:30-05:00,13,17,42,,17,13,34,,13,21,17,17,17,,,21,17,17
