DATETIME,TANGARA_4B1A,TANGARA_14D6,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_1712,TANGARA_48C6,TANGARA_532E,TANGARA_F1AE,TANGARA_06BE,TANGARA_307A
2023-11-02 00:00:30-05:00,82.09,78.3,76.97,67.66,84.64,79.04,99.9,99.9,69.89,81.1,
2023-11-02 00:01:00-05:00,81.9,78.33,77.02,67.87,84.85,79.06,99.9,99.9,69.94,80.09,
2023-11-02 00:01:30-05:00,81.86,78.48,77.06,67.5,84.98,78.97,99.9,99.9,70.04,79.91,
2023-11-02 00:02:00-05:00,81.66,78.51,77.15,67.66,84.96,78.97,99.9,99.9,70.0,80.61,
2023-11-02 00:02:30-05:00,81.66,78.27,77.25,67.61,85.05,78.95,99.9,99.9,70.02,80.82,
2023-11-02 00:03:00-05:00,81.69,78.21,77.35,67.64,85.02,79.0,99.9,99.9,70.09,80.09,
2023-11-02 00:03:30-05:00,81.64,78.74,77.45,67.82,85.06,79.04,99.9,99.9,70.04,79.81,
2023-11-02 00:04:00-05:00,81.58,78.37,77.49,67.77,84.97,79.31,99.9,99.9,70.0,80.11,
2023-11-02 00:04:30-05:00,81.57,78.82,77.25,68.07,85.0,79.02,99.9,99.9,70.06,79.98,
2023-11-02 00:05:00-05:00,81.71,78.67,77.33,67.68,85.14,78.93,99.9,99.9,70.18,80.69,
2023-11-02 00:05:30-05:00,81.73,78.28,77.27,67.94,84.99,78.9,99.9,99.9,70.18,80.21,
2023-11-02 00:06:00-05:00,81.65,78.24,77.24,67.92,84.93,78.96,99.9,99.9,70.17,81.16,
2023-11-02 00:06:30-05:00,81.64,78.39,77.34,67.78,84.94,78.93,99.9,99.9,70.19,80.67,
2023-11-02 00:07:00-05:00,81.54,78.61,77.38,67.53,85.15,79.03,99.9,99.9,70.27,81.07,
2023-11-02 00:07:30-05:00,81.54,77.99,77.35,67.99,84.99,79.08,99.9,99.9,70.17,80.14,
2023-11-02 00:08:00-05:00,81.52,78.24,77.16,68.06,84.96,79.06,99.9,99.9,70.13,80.42,
2023-11-02 00:08:30-05:00,81.61,78.3,77.0,67.69,85.0,79.12,99.9,99.9,70.09,81.0,
2023-11-02 00:09:00-05:00,81.77,78.18,76.98,67.91,85.0,79.07,99.9,99.9,70.14,80.5,
2023-11-02 00:09:30-05:00,82.07,78.24,76.93,67.87,85.38,79.17,99.9,99.9,70.07,80.31,
2023-11-02 00:10:00-05:00,81.96,78.36,76.94,67.8,84.93,79.1,99.9,99.9,70.03,80.37,
2023-11-02 00:10:30-05:00,82.02,78.48,76.85,67.61,85.05,79.12,99.9,99.9,70.04,80.57,
2023-11-02 00:11:00-05:00,81.82,78.26,76.83,68.21,85.08,79.1,99.9,99.9,69.98,80.6,
2023-11-02 00:11:30-05:00,81.93,78.44,76.93,68.06,85.32,79.04,99.9,99.9,69.85,80.54,
2023-11-02 00:12:00-05:00,81.86,78.57,76.96,68.23,85.45,78.98,,99.9,69.83,80.51,
2023-11-02 00:12:30-05:00,81.91,78.32,76.95,68.36,85.42,78.84,99.9,99.9,69.8,80.47,
2023-11-02 00:13:00-05:00,81.94,78.12,77.01,68.04,85.59,78.85,99.9,99.9,69.87,80.56,
2023-11-02 00:13:30-05:00,81.8,78.37,77.07,68.02,85.71,78.72,99.9,99.9,69.9,80.69,
2023-11-02 00:14:00-05:00,81.72,78.2,77.19,67.91,85.78,78.73,99.9,99.9,69.92,80.87,
2023-11-02 00:14:30-05:00,81.7,78.23,77.29,67.99,85.85,78.58,99.9,99.9,70.03,80.56,
2023-11-02 00:15:00-05:00,81.67,78.26,77.26,67.86,85.74,78.6,99.9,99.9,69.96,80.64,
2023-11-02 00:15:30-05:00,81.62,78.14,77.17,68.1,85.62,78.66,99.9,99.9,70.1,80.53,
2023-11-02 00:16:00-05:00,81.62,78.24,77.05,68.04,85.57,78.59,99.9,99.9,70.18,80.43,
2023-11-02 00:16:30-05:00,81.68,78.24,76.99,68.11,85.53,78.63,99.9,99.9,70.21,80.2,
2023-11-02 00:17:00-05:00,82.0,78.44,77.04,68.09,85.54,78.72,99.9,99.9,70.33,80.43,
2023-11-02 00:17:30-05:00,81.82,78.62,77.25,68.21,85.54,,99.9,99.9,70.25,80.4,
2023-11-02 00:18:00-05:00,81.75,78.46,77.43,68.14,85.51,78.67,99.9,99.9,70.39,80.54,
2023-11-02 00:18:30-05:00,81.81,78.47,77.47,68.1,85.54,78.88,99.9,99.9,70.44,80.78,
2023-11-02 00:19:00-05:00,81.78,78.52,77.55,67.93,85.4,78.88,99.9,99.9,70.42,80.67,
2023-11-02 00:19:30-05:00,81.87,78.23,77.67,67.61,85.4,78.7,99.9,99.9,70.41,80.64,
2023-11-02 00:20:00-05:00,81.76,77.53,77.65,67.7,85.28,78.63,99.9,99.9,70.31,81.05,
2023-11-02 00:20:30-05:00,81.98,77.25,77.72,67.9,85.3,78.68,99.9,99.9,70.33,81.03,
2023-11-02 00:21:00-05:00,81.98,76.94,77.75,67.87,85.04,78.68,99.9,99.9,70.34,80.49,
2023-11-02 00:21:30-05:00,81.92,76.92,77.73,68.15,84.89,78.64,99.9,99.9,70.4,80.87,
2023-11-02 00:22:00-05:00,81.71,77.01,77.74,68.11,84.86,78.71,99.9,99.9,70.44,80.29,
2023-11-02 00:22:30-05:00,81.74,77.17,77.64,68.08,84.93,78.61,99.9,99.9,70.49,81.11,
2023-11-02 00:23:00-05:00,82.03,77.42,77.62,68.03,84.98,78.47,99.9,99.9,70.47,81.21,
2023-11-02 00:23:30-05:00,81.96,77.74,77.54,68.17,85.05,78.47,99.9,99.9,70.46,81.17,
2023-11-02 00:24:00-05:00,81.78,,77.52,68.25,85.03,78.48,99.9,99.9,70.58,81.33,
2023-11-02 00:24:30-05:00,81.76,77.77,77.51,68.07,85.06,78.38,,99.9,70.56,81.45,
2023-11-02 00:25:00-05:00,81.7,78.19,77.56,68.02,84.93,78.37,99.9,99.9,70.59,80.86,
2023-11-02 00:25:30-05:00,81.97,77.92,77.54,68.08,85.08,78.32,99.9,99.9,70.67,81.47,
2023-11-02 00:26:00-05:00,81.7,77.64,77.6,68.21,85.12,78.38,99.9,99.9,70.62,81.49,
2023-11-02 00:26:30-05:00,81.8,77.42,77.62,68.25,85.07,78.34,99.9,99.9,70.66,81.52,
2023-11-02 00:27:00-05:00,81.78,77.14,77.64,68.14,85.16,78.39,99.9,99.9,70.65,81.47,
2023-11-02 00:27:30-05:00,81.61,76.85,77.62,68.25,85.27,78.45,99.9,99.9,70.76,81.39,
2023-11-02 00:28:00-05:00,81.57,76.92,77.63,68.21,85.53,78.53,99.9,99.9,70.8,81.37,
2023-11-02 00:28:30-05:00,81.59,77.24,77.57,68.38,85.46,78.63,99.9,99.9,70.83,81.34,
2023-11-02 00:29:00-05:00,81.62,77.62,77.55,68.27,85.44,78.62,99.9,99.9,70.9,81.34,
2023-11-02 00:29:30-05:00,81.48,77.9,77.57,68.38,85.44,78.46,99.9,99.9,70.95,81.38,
2023-11-02 00:30:00-05:00,81.51,77.69,77.57,68.21,85.43,78.54,99.9,99.9,70.92,81.48,
2023-11-02 00:30:30-05:00,81.48,77.25,77.62,68.22,85.4,78.57,99.9,99.9,70.99,81.4,
2023-11-02 00:31:00-05:00,81.39,77.32,77.59,68.29,85.14,78.42,99.9,99.9,71.16,81.26,
2023-11-02 00:31:30-05:00,81.54,77.66,77.68,67.98,85.09,78.46,99.9,99.9,71.2,81.32,
2023-11-02 00:32:00-05:00,81.44,77.13,77.68,67.75,85.09,78.45,99.9,99.9,71.13,81.29,
2023-11-02 00:32:30-05:00,81.46,77.59,77.7,68.01,85.09,78.51,99.9,99.9,71.21,81.23,
2023-11-02 00:33:00-05:00,81.48,78.21,77.72,68.01,85.12,78.52,99.9,99.9,71.24,81.16,
2023-11-02 00:33:30-05:00,81.4,78.83,77.69,67.67,85.12,78.5,99.9,99.9,71.19,81.47,
2023-11-02 00:34:00-05:00,81.38,78.9,77.7,67.48,85.38,78.58,99.9,99.9,71.27,81.45,
2023-11-02 00:34:30-05:00,81.35,,77.75,68.03,85.55,78.58,99.9,99.9,71.28,81.52,
2023-11-02 00:35:00-05:00,81.48,79.33,77.75,67.78,85.67,78.61,99.9,99.9,71.34,80.97,
2023-11-02 00:35:30-05:00,81.52,78.97,77.74,68.04,85.65,78.78,99.9,99.9,71.38,80.9,
2023-11-02 00:36:00-05:00,81.46,79.63,77.77,68.01,85.54,78.84,,99.9,71.24,81.32,
2023-11-02 00:36:30-05:00,81.4,79.11,77.68,68.17,85.68,79.06,99.9,99.9,71.2,80.93,
2023-11-02 00:37:00-05:00,81.36,79.48,77.65,67.95,85.6,79.02,99.9,99.9,71.24,80.87,
2023-11-02 00:37:30-05:00,81.35,78.99,77.64,67.55,85.53,79.16,99.9,99.9,71.24,81.58,
2023-11-02 00:38:00-05:00,81.34,79.24,77.59,68.09,85.51,79.14,99.9,99.9,71.33,81.75,
2023-11-02 00:38:30-05:00,81.52,79.33,77.56,67.62,85.49,79.29,99.9,99.9,71.36,81.23,
2023-11-02 00:39:00-05:00,81.57,79.43,77.63,67.25,85.44,79.21,99.9,99.9,71.45,81.27,
2023-11-02 00:39:30-05:00,81.44,79.67,77.6,68.04,85.27,79.08,99.9,99.9,71.53,81.48,
2023-11-02 00:40:00-05:00,81.51,79.87,77.57,68.3,85.24,79.15,99.9,99.9,71.58,80.92,
2023-11-02 00:40:30-05:00,81.49,80.07,77.51,67.56,85.01,79.2,99.9,99.9,71.5,81.72,
2023-11-02 00:41:00-05:00,81.45,80.06,77.53,68.19,84.97,79.35,99.9,99.9,71.52,81.88,
2023-11-02 00:41:30-05:00,81.42,79.91,77.53,68.07,85.14,79.2,99.9,99.9,71.45,81.45,
2023-11-02 00:42:00-05:00,81.32,79.89,77.64,68.31,85.25,79.15,99.9,99.9,71.51,81.36,
2023-11-02 00:42:30-05:00,81.4,79.8,77.62,68.31,85.34,79.2,99.9,99.9,71.51,81.55,
2023-11-02 00:43:00-05:00,81.41,79.51,77.58,67.95,85.47,79.44,99.9,99.9,71.6,80.91,
2023-11-02 00:43:30-05:00,81.33,79.44,77.68,68.14,85.51,79.4,99.9,99.9,71.76,81.44,
2023-11-02 00:44:00-05:00,81.38,79.49,77.81,68.23,85.47,79.2,99.9,99.9,71.8,81.68,
2023-11-02 00:44:30-05:00,81.43,79.49,77.78,67.71,85.35,79.3,99.9,99.9,71.74,81.83,
2023-11-02 00:45:00-05:00,81.29,79.49,77.84,67.82,85.06,79.38,99.9,99.9,71.76,80.78,
2023-11-02 00:45:30-05:00,81.25,79.48,77.87,67.86,85.1,79.2,99.9,99.9,71.75,81.42,
2023-11-02 00:46:00-05:00,81.58,79.54,77.85,67.91,85.15,79.34,99.9,99.9,71.77,80.95,
2023-11-02 00:46:30-05:00,81.52,79.64,77.84,68.41,85.2,,99.9,99.9,71.73,81.24,
2023-11-02 00:47:00-05:00,81.33,79.65,77.73,68.15,85.24,79.83,99.9,99.9,71.68,81.52,
2023-11-02 00:47:30-05:00,81.35,79.75,77.73,67.35,85.27,79.56,99.9,99.9,71.68,81.63,
2023-11-02 00:48:00-05:00,81.28,79.52,77.68,67.64,85.21,79.96,99.9,99.9,71.57,81.77,
2023-11-02 00:48:30-05:00,81.21,79.53,77.65,67.87,85.17,79.75,99.9,99.9,71.49,81.39,
2023-11-02 00:49:00-05:00,81.19,79.84,77.63,68.35,85.18,79.85,99.9,99.9,71.39,82.02,
2023-11-02 00:49:30-05:00,81.25,79.58,77.61,68.4,85.09,79.78,,99.9,71.28,81.01,
2023-11-02 00:50:00-05:00,81.36,79.4,77.56,67.74,85.0,79.6,99.9,99.9,71.28,80.87,
2023-11-02 00:50:30-05:00,81.34,79.82,77.59,68.72,85.08,79.53,99.9,99.9,71.39,81.04,
2023-11-02 00:51:00-05:00,81.14,79.86,77.66,68.19,85.14,79.54,99.9,99.9,71.51,80.56,
2023-11-02 00:51:30-05:00,81.16,79.85,77.6,67.59,85.03,79.5,99.9,99.9,71.53,80.43,
2023-11-02 00:52:00-05:00,81.06,79.77,77.64,68.42,84.94,79.67,99.9,99.9,71.35,80.82,
2023-11-02 00:52:30-05:00,81.33,79.86,77.75,68.2,84.96,79.58,99.9,99.9,71.4,80.81,
2023-11-02 00:53:00-05:00,81.27,79.88,77.86,68.08,84.98,79.5,99.9,99.9,71.49,81.8,
2023-11-02 00:53:30-05:00,81.39,80.21,77.9,68.42,85.04,79.38,99.9,99.9,71.46,81.14,
2023-11-02 00:54:00-05:00,81.19,,77.68,68.07,85.12,79.49,99.9,99.9,71.51,81.21,
2023-11-02 00:54:30-05:00,81.26,79.7,77.69,68.57,85.1,79.97,99.9,99.9,71.51,80.88,
2023-11-02 00:55:00-05:00,81.21,79.6,77.46,68.37,85.25,79.61,99.9,99.9,71.5,80.81,
2023-11-02 00:55:30-05:00,81.31,79.59,77.37,68.54,85.44,79.42,99.9,99.9,71.52,80.7,
2023-11-02 00:56:00-05:00,81.33,79.76,77.25,67.95,85.36,79.53,99.9,99.9,71.44,81.09,
2023-11-02 00:56:30-05:00,81.47,79.64,77.12,68.17,85.46,79.54,99.9,99.9,71.43,80.91,
2023-11-02 00:57:00-05:00,81.45,79.76,77.17,68.45,85.51,79.38,99.9,99.9,71.51,80.74,
2023-11-02 00:57:30-05:00,81.43,,77.13,68.56,85.33,79.64,99.9,99.9,71.67,80.96,
2023-11-02 00:58:00-05:00,81.21,79.53,77.12,68.32,85.15,79.68,99.9,99.9,71.48,81.71,
2023-11-02 00:58:30-05:00,81.16,79.53,77.16,67.96,84.76,79.77,99.9,99.9,71.6,80.84,
2023-11-02 00:59:00-05:00,81.23,79.51,77.19,68.31,84.62,79.85,99.9,99.9,71.6,80.89,
2023-11-02 00:59:30-05:00,81.22,79.51,77.14,68.33,85.18,79.78,99.9,99.9,71.59,81.19,
