DATETIME,TANGARA_DD66,TANGARA_25CE,TANGARA_260A,TANGARA_4B1A,TANGARA_65F2,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_2492,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_307A,TANGARA_F212,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-02T10:37:30-05:00,60,46,53,50,55,,,46,50,62,60,50,38,,50,62,46,55
2023-05-02T10:38:00-05:00,60,42,53,50,58,68,,50,50,62,58,50,38,,50,42,46,55
2023-05-02T10:38:30-05:00,60,42,55,50,55,66,,50,50,62,60,50,38,,50,53,42,58
2023-05-02T10:39:00-05:00,60,46,58,42,55,66,,46,46,62,60,50,38,,46,42,46,55
2023-05-02T10:39:30-05:00,60,,53,46,55,66,,46,50,62,58,50,38,,50,42,46,55
2023-05-02T10:40:00-05:00,60,42,53,46,55,70,,50,46,62,60,50,38,,,50,38,53
2023-05-02T10:40:30-05:00,60,46,53,46,53,72,,50,50,62,60,50,34,,50,53,46,55
2023-05-02T10:41:00-05:00,60,42,53,50,53,68,,50,50,62,58,50,38,,,46,46,58
2023-05-02T10:41:30-05:00,50,42,55,46,53,64,,50,50,62,55,50,38,,,42,42,58
2023-05-02T10:42:00-05:00,50,42,53,46,55,64,,50,46,62,55,50,,,46,42,46,55
2023-05-02T10:42:30-05:00,50,42,53,46,58,68,,50,50,62,58,50,42,,50,42,46,58
2023-05-02T10:43:00-05:00,50,46,55,46,55,68,,50,46,62,55,50,38,,50,42,46,55
2023-05-02T10:43:30-05:00,50,42,55,46,55,66,,50,46,62,53,53,42,,50,42,50,58
2023-05-02T10:44:00-05:00,50,46,55,50,55,66,,50,46,62,55,53,38,,50,42,46,55
2023-05-02T10:44:30-05:00,50,46,53,50,55,64,,50,42,62,53,53,42,,50,25,46,55
2023-05-02T10:45:00-05:00,50,42,55,50,58,68,,50,46,62,53,50,42,,50,38,50,55
2023-05-02T10:45:30-05:00,50,,55,50,58,66,,53,50,62,50,50,38,,46,46,50,55
2023-05-02T10:46:00-05:00,50,46,55,46,55,66,,53,46,62,50,50,38,,,50,46,58
2023-05-02T10:46:30-05:00,50,50,55,46,53,66,,46,42,62,53,46,42,,,42,50,55
2023-05-02T10:47:00-05:00,50,42,53,46,55,64,,53,50,62,53,,42,,50,34,42,55
2023-05-02T10:47:30-05:00,50,46,53,50,55,64,,46,50,53,55,50,42,,53,42,42,55
2023-05-02T10:48:00-05:00,50,,55,46,55,64,,50,46,53,55,50,42,,50,38,50,58
2023-05-02T10:48:30-05:00,50,46,55,46,53,62,,53,42,53,55,50,42,,50,46,46,58
2023-05-02T10:49:00-05:00,50,46,55,42,53,66,,53,46,53,50,50,42,,50,53,,55
2023-05-02T10:49:30-05:00,50,42,53,46,55,62,,53,46,58,50,50,38,,53,38,42,58
2023-05-02T10:50:00-05:00,50,42,55,46,55,62,,55,53,58,58,50,38,,50,38,42,58
2023-05-02T10:50:30-05:00,50,,53,46,53,60,,53,50,58,55,50,38,,53,38,42,58
2023-05-02T10:51:00-05:00,50,46,53,50,55,62,,50,50,58,53,50,42,,53,34,42,55
2023-05-02T10:51:30-05:00,50,42,53,50,55,64,,55,46,58,53,50,38,,50,46,46,53
2023-05-02T10:52:00-05:00,50,42,53,46,55,66,,50,50,58,53,50,34,,50,38,42,53
2023-05-02T10:52:30-05:00,50,46,53,50,55,66,,50,50,58,53,50,38,,53,30,46,55
2023-05-02T10:53:00-05:00,50,50,53,50,55,68,,50,50,58,50,50,42,,53,38,42,55
2023-05-02T10:53:30-05:00,50,42,53,46,53,66,,46,50,58,50,53,42,,53,46,42,55
2023-05-02T10:54:00-05:00,50,42,50,42,53,66,,46,50,58,50,55,42,,50,42,46,55
2023-05-02T10:54:30-05:00,50,46,53,46,55,66,,46,46,58,53,53,38,,53,30,42,55
2023-05-02T10:55:00-05:00,50,46,55,50,55,64,,50,46,58,53,53,42,,53,34,46,58
2023-05-02T10:55:30-05:00,50,42,53,50,55,64,,46,50,58,50,53,38,,55,38,42,55
2023-05-02T10:56:00-05:00,50,42,53,46,55,62,,46,50,55,50,53,38,,53,38,42,55
2023-05-02T10:56:30-05:00,50,42,53,50,55,66,,46,46,55,53,53,38,,53,38,42,55
2023-05-02T10:57:00-05:00,50,42,53,50,55,68,,46,46,55,53,55,42,,50,50,42,55
2023-05-02T10:57:30-05:00,50,42,50,46,53,66,,38,46,55,50,53,38,,50,58,46,58
2023-05-02T10:58:00-05:00,50,46,53,42,53,66,,42,50,55,53,50,38,,53,46,42,55
2023-05-02T10:58:30-05:00,50,42,53,46,55,68,,46,46,55,50,53,42,,50,46,42,55
2023-05-02T10:59:00-05:00,50,46,53,46,53,64,55,42,50,55,53,55,38,,55,50,38,55
2023-05-02T10:59:30-05:00,50,42,53,46,53,62,50,42,50,58,50,53,42,,50,38,42,58
2023-05-02T11:00:00-05:00,50,46,50,46,53,66,55,46,46,58,50,50,50,,50,38,42,58
2023-05-02T11:01:00-05:00,50,46,53,42,55,66,53,42,46,58,53,50,46,,53,46,42,58
2023-05-02T11:01:30-05:00,50,42,50,46,53,64,,46,46,58,50,53,53,,53,34,46,55
2023-05-02T11:02:00-05:00,50,46,53,42,55,66,,42,46,58,53,53,42,,55,50,38,55
2023-05-02T11:02:30-05:00,50,46,53,46,58,62,53,46,42,58,50,53,42,,53,42,42,53
2023-05-02T11:03:00-05:00,50,46,53,42,53,64,53,46,46,58,58,53,38,,50,34,42,58
2023-05-02T11:03:30-05:00,50,46,53,46,55,66,,50,46,58,58,53,42,,50,42,38,55
2023-05-02T11:04:00-05:00,50,46,55,46,53,66,55,46,46,58,55,50,42,,50,46,38,55
2023-05-02T11:04:30-05:00,50,46,53,46,53,70,55,42,46,58,50,53,38,,55,46,38,55
2023-05-02T11:05:00-05:00,50,46,53,46,58,66,50,46,50,58,53,53,38,,53,55,42,55
2023-05-02T11:05:30-05:00,50,46,50,46,55,66,50,53,50,58,55,53,38,,50,34,42,58
2023-05-02T11:06:00-05:00,50,46,53,50,55,66,50,46,46,58,58,53,38,,50,46,38,58
2023-05-02T11:06:30-05:00,50,42,53,46,55,70,46,50,46,58,58,55,42,,50,30,38,58
2023-05-02T11:07:00-05:00,50,42,55,46,53,70,,53,46,58,53,53,42,,46,38,38,62
2023-05-02T11:07:30-05:00,50,46,55,50,55,70,50,50,50,,58,55,42,,46,42,42,74
2023-05-02T11:08:00-05:00,50,46,53,46,55,68,50,50,46,58,53,55,,,50,42,42,60
2023-05-02T11:09:00-05:00,50,53,53,46,55,74,53,46,46,58,55,55,38,,50,53,38,55
2023-05-02T11:09:30-05:00,50,46,55,42,53,,50,55,50,58,55,53,34,,50,,34,55
2023-05-02T11:10:00-05:00,50,46,53,46,53,74,53,50,50,58,55,55,34,,46,,38,55
2023-05-02T11:10:30-05:00,50,46,55,46,55,74,58,50,50,58,53,55,34,,50,58,38,58
2023-05-02T11:11:00-05:00,50,50,55,46,55,,53,46,50,58,55,58,34,,53,55,38,55
2023-05-02T11:11:30-05:00,50,50,53,46,53,72,53,50,42,58,53,55,38,,53,46,38,55
2023-05-02T11:12:00-05:00,50,50,53,46,55,70,50,46,46,58,53,53,38,,53,53,38,58
2023-05-02T11:12:30-05:00,50,46,53,46,55,70,46,46,50,58,53,55,34,,53,53,38,55
2023-05-02T11:13:00-05:00,50,46,55,46,55,70,46,46,46,58,53,55,34,,50,,42,53
2023-05-02T11:13:30-05:00,50,46,53,46,53,72,,46,46,58,55,55,34,,53,55,42,55
2023-05-02T11:14:00-05:00,50,46,53,50,55,70,42,46,46,58,55,53,38,,50,53,42,55
2023-05-02T11:14:30-05:00,50,46,53,46,53,68,50,46,50,58,53,53,38,,53,46,38,55
2023-05-02T11:15:00-05:00,50,,53,46,53,68,53,46,50,58,64,55,38,,50,38,38,55
2023-05-02T11:15:30-05:00,50,50,53,46,53,68,50,42,50,58,70,55,34,,53,42,38,58
2023-05-02T11:16:00-05:00,50,50,55,42,55,66,46,42,50,58,66,55,42,,53,50,38,58
2023-05-02T11:16:30-05:00,50,46,53,46,55,66,50,42,53,58,58,,38,,50,46,38,55
2023-05-02T11:17:00-05:00,50,46,53,46,55,64,53,46,53,58,66,55,38,,53,50,38,55
2023-05-02T11:17:30-05:00,50,50,53,50,55,72,46,46,53,58,58,55,34,,53,50,34,58
2023-05-02T11:18:00-05:00,50,46,50,42,55,74,42,46,53,58,55,55,38,,53,42,30,55
2023-05-02T11:18:30-05:00,50,50,53,50,55,70,46,42,50,58,53,55,34,,50,42,34,53
2023-05-02T11:19:00-05:00,50,50,53,50,55,72,50,46,53,58,58,55,38,,50,46,34,55
2023-05-02T11:19:30-05:00,50,50,55,46,55,,46,50,53,58,60,55,34,,50,46,38,53
2023-05-02T11:20:00-05:00,50,53,50,46,55,,46,46,53,58,55,53,38,,50,38,34,55
2023-05-02T11:20:30-05:00,50,50,53,50,53,68,42,50,55,58,70,53,38,,53,42,34,55
2023-05-02T11:21:00-05:00,50,46,53,42,53,74,42,46,53,58,,53,42,,53,42,34,55
2023-05-02T11:21:30-05:00,50,50,53,46,53,,42,50,46,58,70,53,38,,50,42,38,53
2023-05-02T11:22:00-05:00,50,50,53,46,53,,42,46,50,58,64,53,38,,53,38,38,53
2023-05-02T11:22:30-05:00,50,50,53,42,53,,42,46,50,58,58,53,38,,53,34,34,58
2023-05-02T11:23:00-05:00,50,53,55,42,55,72,42,50,53,58,60,50,38,,55,38,34,55
2023-05-02T11:23:30-05:00,50,53,53,46,58,70,42,46,53,58,60,50,38,,55,25,38,58
2023-05-02T11:24:00-05:00,50,53,53,46,55,70,38,50,50,58,68,53,38,,53,46,34,55
2023-05-02T11:24:30-05:00,50,50,53,46,53,70,38,53,46,62,62,53,38,,55,38,34,58
2023-05-02T11:25:00-05:00,50,50,53,42,53,74,42,50,50,62,62,53,38,,55,46,34,58
2023-05-02T11:25:30-05:00,50,53,53,46,53,70,42,46,50,62,60,53,42,,53,38,34,55
2023-05-02T11:26:00-05:00,50,53,50,42,55,68,38,50,53,62,62,53,42,,53,53,30,58
2023-05-02T11:26:30-05:00,50,50,53,46,58,74,42,46,53,62,62,50,38,,55,46,38,58
2023-05-02T11:27:00-05:00,50,50,55,46,55,70,38,50,50,62,62,53,38,,53,50,38,58
2023-05-02T11:27:30-05:00,50,55,58,46,55,72,46,46,53,62,60,55,38,,55,42,42,62
2023-05-02T11:28:00-05:00,50,53,55,46,55,68,46,50,53,62,58,53,38,,53,38,46,60
2023-05-02T11:28:30-05:00,50,50,55,46,58,70,42,53,53,62,55,50,42,,53,34,42,60
2023-05-02T11:29:00-05:00,50,46,55,50,55,68,42,53,55,62,58,53,42,,50,30,42,58
2023-05-02T11:29:30-05:00,50,46,55,46,55,66,42,55,53,62,58,53,42,,55,53,42,58
2023-05-02T11:30:00-05:00,50,50,58,50,58,70,46,53,53,62,58,50,38,,55,38,42,55
2023-05-02T11:30:30-05:00,50,46,55,46,58,66,42,55,53,62,55,50,38,,55,38,38,58
2023-05-02T11:31:00-05:00,50,50,55,50,58,72,42,55,53,62,58,53,,,53,34,42,55
2023-05-02T11:31:30-05:00,50,46,55,50,60,70,42,55,50,62,60,50,42,,53,38,46,55
2023-05-02T11:32:00-05:00,50,50,58,50,58,68,42,55,53,62,58,53,38,,53,38,38,55
2023-05-02T11:32:30-05:00,50,50,55,53,58,64,42,55,55,62,58,50,34,,50,30,38,60
2023-05-02T11:33:00-05:00,50,50,55,50,58,68,46,55,53,62,58,50,34,,53,38,38,60
2023-05-02T11:33:30-05:00,50,50,60,50,58,64,50,50,53,62,58,53,34,,53,34,38,58
2023-05-02T11:34:00-05:00,50,50,55,50,55,66,50,53,53,62,60,53,34,,46,38,38,55
2023-05-02T11:34:30-05:00,50,53,58,53,58,66,46,50,50,62,60,50,34,,50,38,38,55
2023-05-02T11:35:00-05:00,50,55,55,53,60,64,46,46,55,62,58,53,30,,55,50,42,58
2023-05-02T11:35:30-05:00,50,53,55,50,60,62,42,50,53,62,62,55,34,,53,38,38,58
2023-05-02T11:36:00-05:00,50,50,55,50,60,62,42,53,55,62,62,55,34,,50,42,34,58
2023-05-02T11:36:30-05:00,50,53,58,50,58,64,42,53,55,62,62,55,34,,50,46,34,60
2023-05-02T11:37:00-05:00,50,53,55,46,55,68,42,50,58,62,64,55,34,,50,42,38,60
2023-05-02T11:37:30-05:00,50,53,55,46,55,68,46,53,58,60,60,58,38,,50,42,38,60
2023-05-02T11:38:00-05:00,50,53,55,53,60,66,42,53,58,60,62,55,34,,46,53,42,60
2023-05-02T11:38:30-05:00,50,53,55,50,58,66,46,50,58,60,62,55,38,,50,62,38,60
2023-05-02T11:39:00-05:00,50,50,55,50,55,64,46,46,58,60,64,55,34,,46,53,38,60
2023-05-02T11:39:30-05:00,50,53,55,46,58,66,42,46,58,60,62,55,38,,46,55,,60
2023-05-02T11:40:00-05:00,50,53,58,46,58,66,46,50,58,60,62,55,38,,50,60,50,60
2023-05-02T11:40:30-05:00,50,53,58,53,55,62,42,50,55,60,60,53,34,,46,62,46,60
2023-05-02T11:41:00-05:00,50,50,58,50,55,62,42,50,58,60,60,55,34,,42,58,38,62
2023-05-02T11:41:30-05:00,50,53,58,50,55,60,46,50,58,60,62,55,34,,42,53,38,60
2023-05-02T11:42:00-05:00,50,50,55,53,55,62,42,50,55,60,60,50,46,,46,55,34,60
2023-05-02T11:42:30-05:00,50,58,55,50,58,64,46,53,58,60,62,53,46,,46,55,38,60
2023-05-02T11:43:00-05:00,50,55,58,50,58,64,42,55,55,60,62,55,55,,46,50,38,58
2023-05-02T11:43:30-05:00,50,55,58,50,58,66,42,53,58,60,62,55,50,,46,60,38,60
2023-05-02T11:44:00-05:00,50,53,58,46,58,62,46,55,58,60,62,55,38,,46,60,34,60
2023-05-02T11:44:30-05:00,50,53,55,46,55,62,42,55,58,60,60,55,34,,42,53,34,60
2023-05-02T11:45:00-05:00,50,55,58,50,58,60,42,58,58,60,60,55,38,,50,53,30,58
2023-05-02T11:45:30-05:00,50,55,55,50,58,60,46,55,58,60,60,,34,,50,50,38,58
2023-05-02T11:46:00-05:00,50,50,55,50,58,62,38,55,58,60,62,55,38,,50,53,34,60
2023-05-02T11:46:30-05:00,50,50,55,46,58,58,42,60,55,60,60,55,38,,46,55,34,62
2023-05-02T11:47:00-05:00,50,55,55,50,60,60,46,58,60,60,60,53,38,,46,58,34,60
2023-05-02T11:47:30-05:00,50,55,58,50,60,60,46,53,55,60,58,53,34,,50,50,38,60
2023-05-02T11:48:00-05:00,50,58,58,50,58,58,46,55,55,60,60,55,38,,50,55,34,64
2023-05-02T11:48:30-05:00,50,55,55,50,55,62,42,53,55,60,58,58,42,,46,53,34,60
