DATETIME,TANGARA_DD66,TANGARA_25CE,TANGARA_260A,TANGARA_4B1A,TANGARA_65F2,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_2492,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_307A,TANGARA_F212,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-02T10:59:30-05:00,57,43,56,50,57,66,53,50,50,62,62,52,38,,50,47,46,57
2023-05-02T11:59:30-05:00,50,52,56,49,57,65,46,53,53,60,59,54,39,,51,48,38,58
2023-05-02T12:59:30-05:00,58,55,66,60,69,60,48,64,59,67,60,61,43,,52,52,36,68
2023-05-02T13:59:30-05:00,62,68,66,60,69,54,52,65,64,67,60,65,53,,59,52,42,73
2023-05-02T14:59:30-05:00,61,65,64,58,66,53,52,62,62,58,58,65,54,,62,46,39,73
2023-05-02T15:59:30-05:00,65,61,68,60,70,42,49,50,59,61,54,60,53,,61,36,36,66
2023-05-02T16:59:30-05:00,69,42,66,59,68,38,30,39,40,40,44,44,43,,,36,21,49
2023-05-02T17:59:30-05:00,61,43,63,57,64,40,39,52,35,40,40,43,43,,,33,36,53
2023-05-02T18:59:30-05:00,63,53,67,60,67,53,43,58,42,41,43,50,53,,,39,41,54
2023-05-02T19:59:30-05:00,64,67,61,55,60,50,43,63,50,48,46,55,58,,,37,47,59
2023-05-02T20:59:30-05:00,53,76,55,47,54,53,49,62,53,46,43,60,57,,,40,52,68
2023-05-02T21:59:30-05:00,45,61,49,40,46,70,42,62,56,52,40,61,65,,,54,40,68
2023-05-02T22:59:30-05:00,38,58,43,36,42,51,39,71,59,54,38,63,67,,,32,40,66
2023-05-02T23:59:30-05:00,38,55,42,37,42,46,41,66,53,53,36,59,62,,,52,46,65
