DATETIME,TANGARA_DD66,TANGARA_25CE,TANGARA_260A,TANGARA_4B1A,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_2492,TANGARA_2822,TANGARA_2E9A,TANGARA_307A,TANGARA_333E,TANGARA_3782,TANGARA_F212,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-23T14:59:30-05:00,13,8,18,18,15,20,16,35,11,34,5,14,,17,15,16,10,29,10
2023-05-23T15:59:30-05:00,13,10,12,12,13,14,8,15,10,34,7,14,,7,9,9,5,8,7
2023-05-23T16:59:30-05:00,16,10,19,20,23,22,15,16,10,34,10,11,,20,15,13,9,11,15
2023-05-23T17:59:30-05:00,30,14,27,27,,22,16,25,13,33,14,13,,17,21,12,16,12,14
2023-05-23T18:59:30-05:00,30,19,28,28,,31,24,33,23,25,13,12,,32,23,11,22,20,26
2023-05-23T19:59:30-05:00,26,21,23,22,,30,26,39,19,26,16,14,,,18,15,20,22,30
2023-05-23T20:59:30-05:00,16,25,14,14,,33,31,38,19,31,20,25,,,10,16,26,30,37
2023-05-23T21:59:30-05:00,13,36,10,10,,36,46,43,28,42,27,16,,,8,15,32,33,50
2023-05-23T22:59:30-05:00,12,24,9,9,,37,41,36,20,43,29,16,31,,7,14,18,30,29
2023-05-23T23:59:30-05:00,9,20,8,8,34,30,34,26,17,27,20,23,28,,5,19,17,24,25
