DATETIME,TANGARA_260A,TANGARA_2BDE,TANGARA_39D6,TANGARA_3B7E,TANGARA_3BEA,TANGARA_421A,TANGARA_5D62,TANGARA_5636,TANGARA_D282,TANGARA_4B1A,TANGARA_14D6,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_307A,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-11-18 00:00:00-05:00,30.0,13.0,,11.0,12.0,12.0,17.0,14.0,13.0,25.0,31.0,31.0,27.0,28.0,28.0,23.0,26.0,33.0
2023-11-18 01:00:00-05:00,30.0,13.0,,11.0,11.0,11.0,17.0,13.0,13.0,25.0,31.0,31.0,26.0,28.0,28.0,23.0,25.0,33.0
2023-11-18 02:00:00-05:00,30.0,13.0,,11.0,11.0,11.0,17.0,13.0,13.0,25.0,31.0,31.0,25.0,28.0,28.0,23.0,26.0,34.0
2023-11-18 03:00:00-05:00,29.0,13.0,,11.0,11.0,11.0,17.0,13.0,13.0,25.0,31.0,31.0,23.0,27.0,28.0,23.0,27.0,34.0
2023-11-18 04:00:00-05:00,30.0,13.0,,11.0,11.0,11.0,17.0,13.0,13.0,26.0,32.0,31.0,23.0,27.0,28.0,24.0,27.0,34.0
2023-11-18 05:00:00-05:00,31.0,13.0,,11.0,11.0,11.0,17.0,13.0,13.0,27.0,33.0,31.0,24.0,28.0,28.0,25.0,28.0,35.0
2023-11-18 06:00:00-05:00,32.0,13.0,,11.0,11.0,11.0,17.0,13.0,13.0,27.0,34.0,31.0,25.0,28.0,30.0,25.0,29.0,36.0
2023-11-18 07:00:00-05:00,33.0,13.0,,11.0,11.0,11.0,17.0,13.0,13.0,27.0,34.0,31.0,25.0,30.0,31.0,26.0,29.0,37.0
2023-11-18 08:00:00-05:00,32.0,13.0,,11.0,11.0,11.0,17.0,13.0,13.0,26.0,34.0,31.0,25.0,30.0,31.0,25.0,28.0,37.0
2023-11-18 09:00:00-05:00,31.0,13.0,,11.0,11.0,11.0,17.0,13.0,13.0,25.0,33.0,31.0,25.0,29.0,30.0,24.0,27.0,36.0
2023-11-18 10:00:00-05:00,31.0,13.0,,11.0,11.0,11.0,17.0,13.0,13.0,25.0,33.0,30.0,25.0,28.0,29.0,24.0,26.0,34.0
2023-11-18 11:00:00-05:00,32.0,13.0,,10.0,11.0,11.0,17.0,13.0,13.0,27.0,34.0,29.0,25.0,27.0,28.0,25.0,28.0,34.0
2023-11-18 12:00:00-05:00,33.0,13.0,,11.0,11.0,11.0,18.0,13.0,13.0,27.0,36.0,28.0,25.0,26.0,28.0,25.0,28.0,33.0
2023-11-18 13:00:00-05:00,33.0,13.0,,11.0,11.0,11.0,18.0,13.0,13.0,28.0,36.0,28.0,25.0,25.0,29.0,24.0,29.0,32.0
2023-11-18 14:00:00-05:00,32.0,13.0,,11.0,11.0,11.0,19.0,13.0,13.0,29.0,35.0,28.0,25.0,26.0,30.0,24.0,29.0,33.0
2023-11-18 15:00:00-05:00,32.0,13.0,,12.0,12.0,12.0,20.0,,13.0,30.0,34.0,27.0,25.0,27.0,31.0,23.0,28.0,33.0
2023-11-18 16:00:00-05:00,30.0,12.0,,12.0,12.0,12.0,20.0,,13.0,30.0,32.0,25.0,23.0,26.0,32.0,20.0,26.0,31.0
2023-11-18 17:00:00-05:00,26.0,,,,,,22.0,,,31.0,30.0,23.0,21.0,26.0,33.0,18.0,25.0,30.0
2023-11-18 18:00:00-05:00,23.0,,,,,,23.0,,,32.0,28.0,22.0,17.0,27.0,30.0,16.0,22.0,31.0
2023-11-18 19:00:00-05:00,25.0,,,,,,23.0,,,35.0,29.0,18.0,10.0,28.0,31.0,16.0,21.0,30.0
2023-11-18 20:00:00-05:00,26.0,,,,,,23.0,,,36.0,31.0,20.0,8.0,30.0,32.0,15.0,21.0,31.0
2023-11-18 21:00:00-05:00,27.0,,,,,,20.0,,,41.0,34.0,25.0,8.0,35.0,34.0,16.0,23.0,33.0
2023-11-18 22:00:00-05:00,29.0,,,,,,18.0,,,43.0,34.0,31.0,10.0,36.0,33.0,20.0,20.0,32.0
2023-11-18 23:00:00-05:00,24.0,,,,,,16.0,,,42.0,25.0,40.0,14.0,41.0,31.0,29.0,16.0,33.0
