DATETIME,TANGARA_260A,TANGARA_14D6,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE,TANGARA_4B1A
2023-11-08 00:00:30-05:00,8.0,9.0,11.0,7.0,10.0,,11.0,12.0,
2023-11-08 00:01:00-05:00,10.0,11.0,12.0,9.0,13.0,3.0,12.0,12.0,
2023-11-08 00:01:30-05:00,10.0,10.0,12.0,9.0,13.0,7.0,10.0,12.0,
2023-11-08 00:02:00-05:00,11.0,10.0,12.0,8.0,13.0,7.0,11.0,12.0,
2023-11-08 00:02:30-05:00,10.0,11.0,11.0,8.0,13.0,7.0,11.0,13.0,
2023-11-08 00:03:00-05:00,10.0,10.0,11.0,8.0,12.0,5.0,11.0,13.0,
2023-11-08 00:03:30-05:00,10.0,10.0,13.0,9.0,12.0,5.0,13.0,12.0,
2023-11-08 00:04:00-05:00,10.0,10.0,12.0,8.0,13.0,5.0,12.0,11.0,
2023-11-08 00:04:30-05:00,10.0,10.0,12.0,9.0,13.0,5.0,11.0,11.0,
2023-11-08 00:05:00-05:00,10.0,10.0,12.0,8.0,14.0,7.0,12.0,13.0,
2023-11-08 00:05:30-05:00,10.0,10.0,11.0,9.0,13.0,5.0,12.0,12.0,
2023-11-08 00:06:00-05:00,10.0,11.0,12.0,10.0,12.0,5.0,12.0,12.0,
2023-11-08 00:06:30-05:00,10.0,12.0,12.0,9.0,12.0,4.0,12.0,13.0,
2023-11-08 00:07:00-05:00,10.0,12.0,13.0,10.0,12.0,7.0,12.0,12.0,
2023-11-08 00:07:30-05:00,10.0,12.0,12.0,10.0,13.0,6.0,12.0,12.0,
2023-11-08 00:08:00-05:00,11.0,11.0,12.0,10.0,13.0,8.0,12.0,12.0,
2023-11-08 00:08:30-05:00,11.0,,13.0,12.0,13.0,7.0,11.0,13.0,
2023-11-08 00:09:00-05:00,10.0,12.0,13.0,10.0,13.0,7.0,11.0,13.0,
2023-11-08 00:09:30-05:00,10.0,12.0,12.0,10.0,12.0,6.0,11.0,12.0,
2023-11-08 00:10:00-05:00,11.0,12.0,13.0,10.0,12.0,6.0,11.0,13.0,
2023-11-08 00:10:30-05:00,11.0,13.0,12.0,10.0,13.0,6.0,11.0,13.0,
2023-11-08 00:11:00-05:00,10.0,13.0,11.0,,12.0,8.0,10.0,12.0,
2023-11-08 00:11:30-05:00,12.0,13.0,12.0,8.0,12.0,6.0,10.0,12.0,
2023-11-08 00:12:00-05:00,10.0,13.0,13.0,8.0,12.0,6.0,12.0,12.0,
2023-11-08 00:12:30-05:00,11.0,14.0,13.0,10.0,13.0,6.0,11.0,12.0,
2023-11-08 00:13:00-05:00,10.0,14.0,11.0,10.0,13.0,5.0,10.0,11.0,
2023-11-08 00:13:30-05:00,10.0,14.0,12.0,10.0,12.0,7.0,10.0,12.0,
2023-11-08 00:14:00-05:00,10.0,14.0,11.0,11.0,12.0,4.0,9.0,13.0,
