DATETIME,TANGARA_DD66,TANGARA_25CE,TANGARA_260A,TANGARA_4B1A,TANGARA_65F2,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_2492,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_307A,TANGARA_F212,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-02T10:08:00-05:00,16.0,9.0,18.0,13.0,16.0,21.0,,12.0,11.0,16.0,,11.0,10.0,,11.0,11.0,11.0,14.0
2023-05-02T10:08:30-05:00,16.0,8.0,16.0,13.0,16.0,21.0,,12.0,13.0,16.0,24.0,12.0,9.0,,11.0,10.0,12.0,16.0
2023-05-02T10:09:00-05:00,16.0,9.0,16.0,14.0,17.0,20.0,,11.0,12.0,18.0,,12.0,8.0,,12.0,10.0,12.0,14.0
2023-05-02T10:09:30-05:00,16.0,9.0,16.0,14.0,16.0,19.0,,12.0,13.0,19.0,24.0,12.0,9.0,,12.0,14.0,11.0,14.0
2023-05-02T10:10:00-05:00,16.0,9.0,17.0,14.0,17.0,19.0,,10.0,13.0,19.0,,11.0,9.0,,12.0,10.0,11.0,16.0
2023-05-02T10:10:30-05:00,16.0,9.0,16.0,14.0,17.0,18.0,,11.0,13.0,19.0,23.0,12.0,8.0,,12.0,15.0,12.0,15.0
2023-05-02T10:11:00-05:00,16.0,8.0,17.0,14.0,15.0,18.0,,11.0,13.0,19.0,24.0,12.0,8.0,,11.0,11.0,13.0,15.0
2023-05-02T10:11:30-05:00,16.0,9.0,15.0,14.0,17.0,18.0,,11.0,13.0,19.0,22.0,13.0,8.0,,12.0,11.0,11.0,15.0
2023-05-02T10:12:00-05:00,16.0,10.0,16.0,13.0,17.0,20.0,,11.0,13.0,19.0,24.0,11.0,9.0,,11.0,10.0,12.0,16.0
2023-05-02T10:12:30-05:00,16.0,9.0,16.0,13.0,17.0,21.0,,11.0,12.0,,23.0,12.0,8.0,,12.0,11.0,12.0,14.0
2023-05-02T10:13:00-05:00,16.0,9.0,16.0,13.0,16.0,19.0,,12.0,13.0,19.0,24.0,11.0,9.0,,11.0,13.0,11.0,14.0
2023-05-02T10:13:30-05:00,16.0,10.0,15.0,13.0,16.0,20.0,,11.0,13.0,19.0,,11.0,9.0,,11.0,11.0,11.0,15.0
2023-05-02T10:14:00-05:00,16.0,9.0,15.0,12.0,17.0,19.0,,11.0,12.0,19.0,,12.0,9.0,,11.0,13.0,11.0,15.0
