DATETIME,TANGARA_DD66,TANGARA_25CE,TANGARA_260A,TANGARA_4B1A,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_2492,TANGARA_2822,TANGARA_2E9A,TANGARA_307A,TANGARA_3782_x,TANGARA_3782_y,TANGARA_F212,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-25T00:32:00-05:00,,9,,,,9,42,13,17,13,25,9,,,,9,0,9,9
2023-05-25T00:32:30-05:00,,9,,,,9,55,17,13,13,25,9,,,17,9,13,9,9
2023-05-25T00:33:00-05:00,,9,,,,9,50,21,13,9,30,9,,,,9,0,9,9
2023-05-25T00:33:30-05:00,,9,,,,9,38,21,17,9,30,9,,,,9,5,9,9
2023-05-25T00:34:00-05:00,,9,,,,9,30,34,13,13,21,9,,,17,9,5,5,9
2023-05-25T00:34:30-05:00,,9,,,,9,21,34,13,9,25,9,,,,9,0,9,9
2023-05-25T00:35:00-05:00,,9,,,,9,17,30,13,13,25,5,,,17,9,5,9,9
2023-05-25T00:35:30-05:00,,9,,,,9,17,30,13,9,25,5,,,17,9,5,5,9
2023-05-25T00:36:00-05:00,,9,,,,9,13,34,13,9,21,9,,,,9,9,5,9
2023-05-25T00:36:30-05:00,,9,,21,,9,13,34,13,9,25,9,,,17,9,5,9,9
2023-05-25T00:37:00-05:00,,9,21,,,9,13,30,13,9,25,9,,,17,9,,9,9
2023-05-25T00:37:30-05:00,,9,,21,,9,13,25,13,9,25,9,,,13,5,0,9,9
2023-05-25T00:38:00-05:00,,9,21,21,,9,9,21,17,9,21,9,,,17,9,0,9,9
2023-05-25T00:38:30-05:00,,9,21,21,,9,13,25,13,9,21,9,,,17,9,0,9,9
2023-05-25T00:39:00-05:00,,9,21,21,,9,9,17,13,9,25,9,,,17,5,5,9,9
2023-05-25T00:39:30-05:00,,9,21,21,,13,9,21,13,9,25,9,,,13,5,5,9,9
2023-05-25T00:40:00-05:00,,9,21,21,,13,9,25,13,9,21,9,,,17,9,5,9,9
2023-05-25T00:40:30-05:00,,9,21,17,,9,13,25,13,9,21,9,,,17,9,5,9,9
2023-05-25T00:41:00-05:00,,9,21,21,,9,9,21,13,9,21,9,,,17,9,5,9,9
2023-05-25T00:41:30-05:00,,9,21,17,,9,9,25,13,9,25,5,,,17,9,5,9,9
2023-05-25T00:42:00-05:00,,9,21,17,,9,13,30,13,9,21,9,,,13,9,5,9,9
2023-05-25T00:42:30-05:00,,9,17,21,,9,9,25,13,13,21,9,,,17,9,0,9,9
2023-05-25T00:43:00-05:00,,9,21,21,,9,13,25,13,9,21,5,,,,5,5,9,9
2023-05-25T00:43:30-05:00,,9,21,21,,9,9,25,9,9,21,9,,,17,9,5,13,9
2023-05-25T00:44:00-05:00,,9,21,,,9,13,21,9,9,21,9,,,13,9,5,9,5
2023-05-25T00:44:30-05:00,,9,21,21,,9,13,25,21,9,17,9,,,13,9,5,9,9
2023-05-25T00:45:00-05:00,,9,21,17,,9,13,21,13,9,17,9,,,13,9,5,9,9
2023-05-25T00:45:30-05:00,,9,21,21,,13,13,21,9,9,17,9,,,17,5,0,9,9
2023-05-25T00:46:00-05:00,,9,21,21,,9,13,21,9,9,21,9,,,17,5,0,9,9
2023-05-25T00:46:30-05:00,,9,21,21,,9,13,25,9,9,17,9,,,17,5,0,9,5
2023-05-25T00:47:00-05:00,,9,21,21,,9,9,30,9,9,17,9,,,17,9,0,9,9
2023-05-25T00:47:30-05:00,,9,21,17,,9,9,38,9,9,17,9,,,17,9,0,9,9
2023-05-25T00:48:00-05:00,,9,21,21,,9,13,34,9,9,17,9,,,13,5,5,9,9
2023-05-25T00:48:30-05:00,,9,21,21,,9,13,34,9,9,13,9,,,13,9,5,9,9
2023-05-25T00:49:00-05:00,,9,21,21,,13,13,,9,9,13,5,,,13,9,0,9,9
2023-05-25T00:49:30-05:00,,9,21,,,9,13,38,9,9,17,9,,,13,9,5,13,9
2023-05-25T00:50:00-05:00,,9,17,21,,13,13,42,9,9,13,9,,,13,9,5,13,9
2023-05-25T00:50:30-05:00,,9,21,21,,13,13,34,9,9,13,9,,,17,5,0,9,9
2023-05-25T00:51:00-05:00,,9,17,21,,9,17,42,9,9,17,9,,,17,5,5,9,9
2023-05-25T00:51:30-05:00,,9,21,,,9,17,42,9,9,13,9,,,13,9,5,9,9
2023-05-25T00:52:00-05:00,,9,17,21,,9,17,42,9,9,13,9,,,17,5,0,13,9
2023-05-25T00:52:30-05:00,,9,17,21,,13,17,34,9,9,13,5,,,13,9,5,9,9
2023-05-25T00:53:00-05:00,,9,21,21,,13,17,34,9,9,17,5,,,13,5,,9,9
2023-05-25T00:53:30-05:00,,9,21,17,,9,17,34,9,9,17,9,,,17,5,5,9,9
