DATETIME,TANGARA_DD66,TANGARA_25CE,TANGARA_4B1A,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_1EE6,TANGARA_2492,TANGARA_2822,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_307A,TANGARA_F212,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-12T11:59:30-05:00,46,58,56,57,59,62,53,91,72,,84,75,79,54,54,57,36,39,80
2023-05-12T12:59:30-05:00,46,75,48,60,59,53,45,77,77,,74,62,70,60,46,66,36,41,69
2023-05-12T13:59:30-05:00,46,70,56,59,58,57,46,65,64,,58,54,58,62,55,69,40,39,58
2023-05-12T14:59:30-05:00,46,57,65,61,54,59,54,67,55,,52,55,49,50,64,62,40,47,52
2023-05-12T15:59:30-05:00,46,57,60,70,57,68,59,61,60,,57,47,48,40,59,55,50,56,53
2023-05-12T16:59:30-05:00,46,69,62,60,59,55,53,54,58,,53,49,60,60,62,68,54,46,62
2023-05-12T17:59:30-05:00,46,64,63,35,26,27,57,15,35,33,13,18,53,68,63,72,15,22,61
2023-05-12T18:59:30-05:00,46,70,61,61,28,44,31,18,14,34,13,19,20,74,60,74,14,27,24
2023-05-12T19:59:30-05:00,46,80,57,72,27,59,31,15,48,34,12,13,39,90,56,68,13,50,40
2023-05-12T20:59:30-05:00,46,82,49,53,40,52,31,17,46,34,13,15,42,80,47,68,16,36,50
2023-05-12T21:59:30-05:00,46,75,43,58,52,53,63,15,68,34,38,12,67,61,41,65,41,39,68
2023-05-12T22:59:30-05:00,46,56,37,,65,56,59,29,67,34,58,12,45,23,36,31,39,52,33
2023-05-12T23:59:30-05:00,46,63,33,,46,65,46,18,61,34,33,10,46,18,32,20,28,50,36
