DATETIME,TANGARA_25CE,TANGARA_260A,TANGARA_4B1A,TANGARA_65F2,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_2492,TANGARA_2822,TANGARA_2E9A,TANGARA_307A,TANGARA_3782,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-26T00:59:30-05:00,19,,,,50,31,39,61,22,42,27,38,20,,34,35,46
2023-05-26T01:59:30-05:00,33,,,,,34,38,47,23,46,31,40,21,,31,31,41
2023-05-26T02:59:30-05:00,38,,,,,50,44,55,30,40,26,37,27,,30,29,37
2023-05-26T03:59:30-05:00,33,,,,,61,,53,28,46,29,30,33,,39,25,34
2023-05-26T04:59:30-05:00,31,,,,,58,,58,25,40,25,30,65,,30,30,32
2023-05-26T05:59:30-05:00,35,,,,,57,43,55,27,43,24,35,,,40,41,38
2023-05-26T06:59:30-05:00,45,,,,,93,,83,32,52,29,44,59,,55,64,46
2023-05-26T07:59:30-05:00,53,,,,,99,,99,35,85,47,54,60,,65,74,70
2023-05-26T08:59:30-05:00,83,,,,,98,,92,67,93,91,77,69,,65,82,83
2023-05-26T09:59:30-05:00,90,,,,,88,,87,96,95,97,86,89,,60,82,73
2023-05-26T10:59:30-05:00,90,,,,,87,,96,103,105,106,93,88,,57,82,82
2023-05-26T11:59:30-05:00,86,,,,91,87,,110,89,89,95,97,88,,62,69,85
2023-05-26T12:59:30-05:00,77,,,189,91,102,,140,87,100,92,75,82,,80,71,89
2023-05-26T13:59:30-05:00,65,,82,,93,111,90,106,73,111,98,66,73,,74,69,70
2023-05-26T14:59:30-05:00,62,,74,,103,108,95,80,66,101,94,58,66,,65,67,63
2023-05-26T15:59:30-05:00,61,,63,,78,90,70,66,62,68,71,57,67,,52,59,55
2023-05-26T16:59:30-05:00,55,87,73,,75,90,70,62,56,58,54,57,61,66,59,63,53
2023-05-26T17:59:30-05:00,61,82,76,,78,82,71,76,62,71,67,62,67,65,56,67,57
2023-05-26T18:59:30-05:00,72,,94,,86,81,85,108,73,85,71,64,77,69,66,70,70
2023-05-26T19:59:30-05:00,88,,112,,116,100,107,110,82,105,80,69,85,67,70,90,77
2023-05-26T20:59:30-05:00,90,,152,,148,115,138,152,80,92,77,75,78,68,82,97,87
2023-05-26T21:59:30-05:00,68,,144,,123,96,127,129,73,75,66,71,75,66,65,103,88
2023-05-26T22:59:30-05:00,63,,114,,97,80,92,114,68,80,58,73,68,71,60,75,64
2023-05-26T23:59:30-05:00,64,,97,,,76,77,110,67,65,57,69,65,66,54,65,62
