DATETIME,TANGARA_25CE,TANGARA_260A,TANGARA_4B1A,TANGARA_65F2,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_2492,TANGARA_2822,TANGARA_2E9A,TANGARA_307A,TANGARA_3782,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-26T00:33:30-05:00,17,,,,,30,42,53,21,42,30,42,21,,30,34,42
2023-05-26T00:34:00-05:00,17,,,,,25,42,55,25,38,30,38,21,,21,34,50
2023-05-26T00:34:30-05:00,17,,,,,25,46,55,25,42,34,42,21,,25,34,46
2023-05-26T00:35:00-05:00,17,,,,,25,46,53,25,38,34,38,17,,25,34,46
2023-05-26T00:35:30-05:00,21,,,,,21,42,55,21,42,25,38,21,,21,30,42
2023-05-26T00:36:00-05:00,21,,,,,30,42,53,21,38,30,38,17,,21,30,42
2023-05-26T00:36:30-05:00,17,,,,,30,42,50,21,38,25,38,17,,,34,42
2023-05-26T00:37:00-05:00,21,,,,,25,42,50,25,38,30,38,21,,21,30,42
2023-05-26T00:37:30-05:00,21,,,,,30,42,50,25,38,30,38,21,,17,34,46
2023-05-26T00:38:00-05:00,17,,,,,34,42,50,25,38,25,38,21,,25,34,46
2023-05-26T00:38:30-05:00,21,,,,,34,42,50,21,34,30,42,21,,25,34,46
2023-05-26T00:39:00-05:00,21,,,,,30,38,50,25,38,30,38,21,,25,34,42
2023-05-26T00:39:30-05:00,21,,,,,30,46,50,25,42,25,38,21,,13,30,46
2023-05-26T00:40:00-05:00,21,,,,,34,42,50,25,42,30,42,21,,21,34,42
2023-05-26T00:40:30-05:00,17,,,,,30,42,46,21,42,25,42,21,,25,30,46
2023-05-26T00:41:00-05:00,17,,,,,34,46,46,21,42,25,38,21,,17,30,42
2023-05-26T00:41:30-05:00,13,,,,,34,46,50,25,42,25,38,21,,13,34,46
2023-05-26T00:42:00-05:00,17,,,,,34,42,53,21,42,30,38,25,,21,30,42
