DATETIME,TANGARA_DD66,TANGARA_25CE,TANGARA_260A,TANGARA_4B1A,TANGARA_65F2,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_2492,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_307A,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-03T11:59:30-05:00,35,58,37,34,38,67,54,73,58,63,55,61,56,,53,56,66
2023-05-03T23:59:30-05:00,53,50,54,50,55,52,49,57,46,42,30,47,44,52,35,48,54
