DATETIME,TANGARA_25CE,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_2492,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_307A,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-09T00:00:00-05:00,16.0,,,,,13.0,,19.0,14.0,16.0,,16.0,
2023-05-09T00:00:30-05:00,17.0,0.0,500.5,26.0,15.0,14.0,4.0,18.0,15.0,16.0,0.0,16.0,20.0
2023-05-09T00:01:00-05:00,16.0,26.0,123.0,26.0,15.0,12.0,4.0,18.0,16.0,17.0,0.0,17.0,20.0
2023-05-09T00:01:30-05:00,16.0,25.0,39.0,28.0,15.0,13.0,4.0,18.0,16.0,16.0,0.0,16.0,21.0
2023-05-09T00:02:00-05:00,17.0,24.0,23.0,26.0,16.0,13.0,4.0,18.0,14.0,16.0,15.0,16.0,21.0
2023-05-09T00:02:30-05:00,16.0,26.0,19.0,,15.0,13.0,3.0,19.0,14.0,17.0,13.0,16.0,19.0
2023-05-09T00:03:00-05:00,17.0,25.0,19.0,25.0,15.0,14.0,4.0,18.0,14.0,17.0,12.0,16.0,21.0
2023-05-09T00:03:30-05:00,16.0,25.0,20.0,25.0,15.0,13.0,4.0,18.0,15.0,17.0,12.0,16.0,20.0
2023-05-09T00:04:00-05:00,17.0,26.0,19.0,27.0,15.0,14.0,3.0,19.0,13.0,16.0,14.0,15.0,19.0
2023-05-09T00:04:30-05:00,18.0,26.0,20.0,25.0,14.0,14.0,4.0,18.0,15.0,17.0,12.0,16.0,20.0
2023-05-09T00:05:00-05:00,17.0,26.0,18.0,24.0,15.0,13.0,4.0,19.0,15.0,17.0,12.0,14.0,20.0
2023-05-09T00:05:30-05:00,18.0,25.0,18.0,,15.0,13.0,5.0,19.0,15.0,16.0,14.0,16.0,20.0
2023-05-09T00:06:00-05:00,17.0,26.0,20.0,24.0,15.0,14.0,5.0,19.0,14.0,17.0,11.0,14.0,20.0
2023-05-09T00:06:30-05:00,18.0,24.0,19.0,24.0,14.0,14.0,5.0,19.0,15.0,16.0,15.0,14.0,20.0
2023-05-09T00:07:00-05:00,16.0,26.0,19.0,25.0,15.0,14.0,4.0,19.0,15.0,15.0,13.0,14.0,21.0
2023-05-09T00:07:30-05:00,17.0,25.0,19.0,25.0,15.0,14.0,4.0,20.0,15.0,16.0,13.0,15.0,19.0
2023-05-09T00:08:00-05:00,17.0,23.0,19.0,,15.0,15.0,4.0,20.0,15.0,17.0,13.0,15.0,20.0
2023-05-09T00:08:30-05:00,19.0,22.0,19.0,25.0,15.0,13.0,5.0,18.0,14.0,16.0,16.0,15.0,20.0
2023-05-09T00:09:00-05:00,18.0,24.0,19.0,,14.0,13.0,4.0,18.0,15.0,17.0,16.0,15.0,19.0
2023-05-09T00:09:30-05:00,18.0,22.0,19.0,,15.0,14.0,5.0,19.0,14.0,17.0,14.0,15.0,20.0
2023-05-09T00:10:00-05:00,17.0,21.0,18.0,25.0,15.0,15.0,5.0,18.0,15.0,17.0,13.0,15.0,20.0
2023-05-09T00:10:30-05:00,18.0,20.0,26.0,27.0,15.0,13.0,6.0,19.0,15.0,16.0,16.0,14.0,20.0
2023-05-09T00:11:00-05:00,18.0,20.0,18.0,32.0,14.0,13.0,6.0,18.0,15.0,16.0,15.0,15.0,19.0
2023-05-09T00:11:30-05:00,17.0,20.0,18.0,35.0,15.0,14.0,5.0,17.0,14.0,16.0,14.0,13.0,19.0
2023-05-09T00:12:00-05:00,17.0,20.0,19.0,32.0,16.0,14.0,4.0,18.0,15.0,17.0,14.0,13.0,19.0
