DATETIME,TANGARA_DD66,TANGARA_25CE,TANGARA_260A,TANGARA_4B1A,TANGARA_65F2,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_2492,TANGARA_2822,TANGARA_2B42,TANGARA_2E9A,TANGARA_307A,TANGARA_3782,TANGARA_F212,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-20T00:43:30-05:00,46,58,46,43,43,34,25,33,50,36,34,38,5,86,47,37,21,24,44
2023-05-20T01:43:30-05:00,46,69,40,37,38,34,28,34,53,46,34,33,20,109,49,31,21,28,33
2023-05-20T02:43:30-05:00,46,63,38,34,35,,35,35,64,49,34,48,30,77,52,30,23,25,50
2023-05-20T03:43:30-05:00,46,62,36,33,33,,59,36,69,52,34,54,45,72,38,28,41,23,64
2023-05-20T04:43:30-05:00,46,62,37,33,33,,53,42,64,54,34,54,50,68,34,28,42,34,54
2023-05-20T05:43:30-05:00,46,43,36,33,33,,32,46,50,40,34,50,34,38,45,28,20,28,22
2023-05-20T06:43:30-05:00,46,14,23,22,20,,21,,17,,34,,9,17,19,18,5,12,0
2023-05-20T07:43:30-05:00,46,11,30,28,28,,29,,28,,34,,10,23,27,23,23,22,2
2023-05-20T08:43:30-05:00,46,28,20,18,18,,38,,33,,34,,27,47,23,15,33,21,50
2023-05-20T09:43:30-05:00,46,54,25,23,23,,54,,63,,34,,22,52,38,20,30,25,79
2023-05-20T10:43:30-05:00,,,,,,,,,,,,,,,,,,,
2023-05-20T11:43:30-05:00,46,87,61,57,59,,,,88,,34,,77,75,,53,63,,79
2023-05-20T12:43:30-05:00,46,75,59,55,57,,,,91,,34,,81,68,,50,65,,70
2023-05-20T13:43:30-05:00,46,69,61,58,60,75,77,58,67,,34,,79,64,60,53,60,40,80
2023-05-20T14:43:30-05:00,46,81,60,57,59,54,57,49,57,,34,,71,53,55,52,44,39,73
2023-05-20T15:43:30-05:00,46,38,66,63,64,42,22,35,45,,34,,13,63,33,56,9,25,28
2023-05-20T16:43:30-05:00,46,4,62,62,61,17,15,8,23,,34,,5,12,8,54,8,7,5
2023-05-20T17:43:30-05:00,46,5,15,14,16,13,12,8,13,,34,,4,13,8,12,3,9,8
2023-05-20T18:43:30-05:00,46,20,9,9,9,20,18,16,32,,34,,10,23,23,8,9,12,21
2023-05-20T19:43:30-05:00,46,13,11,10,12,28,20,23,38,,34,,23,15,27,9,10,16,14
2023-05-20T20:43:30-05:00,46,14,13,11,13,,17,17,59,,34,,20,10,31,10,12,13,13
2023-05-20T21:43:30-05:00,46,13,18,16,17,,20,24,26,,34,,22,8,30,13,10,12,16
2023-05-20T22:43:30-05:00,46,11,15,13,15,,40,31,49,,34,,36,24,33,11,25,22,21
2023-05-20T23:43:30-05:00,46,24,10,10,10,,42,31,42,,34,,53,16,24,8,36,19,22
