DATETIME,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_2492,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_307A,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-01T00:58:30-05:00,21,18,38,22,21,18,15,17,19,13,12,16
2023-05-01T01:58:30-05:00,31,20,40,36,25,18,23,18,20,10,18,19
2023-05-01T02:58:30-05:00,25,17,36,29,30,18,29,20,23,15,19,27
2023-05-01T03:58:30-05:00,22,16,40,32,29,19,33,28,29,13,18,33
2023-05-01T04:58:30-05:00,30,27,47,28,32,20,33,28,30,15,29,36
2023-05-01T05:58:30-05:00,28,33,37,31,34,20,33,29,33,18,23,36
2023-05-01T06:58:30-05:00,23,25,35,29,38,22,27,28,33,20,20,33
2023-05-01T07:58:30-05:00,44,24,54,29,43,33,37,30,34,28,25,40
2023-05-01T08:58:30-05:00,40,32,54,26,32,33,29,26,28,24,36,33
2023-05-01T09:58:30-05:00,31,25,43,18,25,27,20,18,23,28,23,25
2023-05-01T10:58:30-05:00,33,31,33,25,29,31,25,15,18,24,30,32
2023-05-01T11:58:30-05:00,43,38,38,33,43,38,34,19,27,29,34,39
2023-05-01T12:58:30-05:00,39,36,36,38,46,40,37,23,35,28,29,45
2023-05-01T13:58:30-05:00,40,38,43,33,39,36,36,27,37,27,31,47
2023-05-01T14:58:30-05:00,41,40,48,35,38,38,38,30,38,31,32,52
2023-05-01T15:58:30-05:00,46,46,44,38,41,40,43,33,40,30,41,53
2023-05-01T16:58:30-05:00,45,35,54,30,24,28,38,36,42,34,31,50
2023-05-01T17:58:30-05:00,31,27,39,18,19,18,21,35,43,19,23,29
2023-05-01T18:58:30-05:00,31,33,31,18,18,17,20,29,31,17,30,26
2023-05-01T19:58:30-05:00,32,28,33,28,20,19,28,38,49,19,25,40
2023-05-01T20:58:30-05:00,25,25,31,24,17,15,28,48,46,20,28,35
2023-05-01T21:58:30-05:00,36,30,50,32,16,16,25,43,53,20,27,27
2023-05-01T22:58:30-05:00,52,48,52,45,29,17,48,44,53,24,33,53
2023-05-01T23:58:30-05:00,45,35,48,38,42,21,39,39,44,31,23,43
