DATETIME,TANGARA_260A,TANGARA_4B1A,TANGARA_14D6,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_307A,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-11-16 00:00:00-05:00,42.0,38.0,52.0,46.0,32.0,49.0,58.0,32.0,44.0,55.0
2023-11-16 01:00:00-05:00,42.0,39.0,52.0,46.0,32.0,49.0,59.0,31.0,44.0,55.0
2023-11-16 02:00:00-05:00,41.0,39.0,50.0,46.0,32.0,49.0,59.0,31.0,44.0,55.0
2023-11-16 03:00:00-05:00,41.0,39.0,51.0,46.0,33.0,50.0,60.0,31.0,44.0,55.0
2023-11-16 04:00:00-05:00,41.0,40.0,51.0,46.0,33.0,51.0,61.0,31.0,44.0,56.0
2023-11-16 05:00:00-05:00,41.0,40.0,50.0,46.0,34.0,52.0,62.0,32.0,44.0,56.0
2023-11-16 06:00:00-05:00,41.0,40.0,49.0,46.0,35.0,52.0,63.0,31.0,44.0,57.0
2023-11-16 07:00:00-05:00,40.0,38.0,48.0,46.0,36.0,52.0,63.0,31.0,43.0,57.0
2023-11-16 08:00:00-05:00,39.0,38.0,47.0,45.0,36.0,52.0,63.0,30.0,42.0,57.0
2023-11-16 09:00:00-05:00,38.0,37.0,46.0,43.0,34.0,52.0,62.0,28.0,41.0,56.0
2023-11-16 10:00:00-05:00,36.0,35.0,45.0,42.0,31.0,49.0,61.0,26.0,40.0,55.0
2023-11-16 11:00:00-05:00,35.0,34.0,45.0,40.0,30.0,48.0,58.0,25.0,40.0,54.0
2023-11-16 12:00:00-05:00,35.0,33.0,45.0,37.0,27.0,46.0,56.0,24.0,41.0,54.0
2023-11-16 13:00:00-05:00,33.0,33.0,44.0,34.0,25.0,45.0,54.0,22.0,40.0,52.0
2023-11-16 14:00:00-05:00,33.0,33.0,44.0,30.0,21.0,42.0,53.0,20.0,40.0,48.0
2023-11-16 15:00:00-05:00,31.0,33.0,45.0,25.0,16.0,37.0,49.0,17.0,41.0,43.0
2023-11-16 16:00:00-05:00,31.0,33.0,45.0,21.0,13.0,32.0,46.0,15.0,42.0,38.0
2023-11-16 17:00:00-05:00,31.0,34.0,47.0,21.0,11.0,31.0,41.0,14.0,44.0,37.0
2023-11-16 18:00:00-05:00,31.0,34.0,48.0,22.0,11.0,34.0,44.0,14.0,47.0,40.0
2023-11-16 19:00:00-05:00,33.0,33.0,52.0,24.0,10.0,38.0,48.0,15.0,50.0,44.0
2023-11-16 20:00:00-05:00,36.0,33.0,54.0,27.0,10.0,42.0,41.0,16.0,54.0,48.0
2023-11-16 21:00:00-05:00,38.0,33.0,55.0,32.0,11.0,47.0,35.0,15.0,56.0,52.0
2023-11-16 22:00:00-05:00,41.0,33.0,53.0,32.0,12.0,47.0,34.0,14.0,54.0,51.0
2023-11-16 23:00:00-05:00,45.0,26.0,53.0,43.0,19.0,47.0,37.0,23.0,54.0,51.0
