DATETIME,TANGARA_DD66,TANGARA_25CE,TANGARA_4B1A,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_2492,TANGARA_2822,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_307A,TANGARA_3782_x,TANGARA_3782_y,TANGARA_F212,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-16T00:03:00-05:00,13,26,14,,38,43,129,29,34,28,23,27,25,,,16,24,16,38,31
2023-05-16T01:03:00-05:00,14,26,16,,31,39,78,27,34,29,20,32,25,,,15,24,23,50,36
2023-05-16T02:03:00-05:00,17,26,18,,50,58,70,23,34,29,19,30,25,,,17,25,28,54,33
2023-05-16T03:03:00-05:00,21,28,18,,56,44,62,24,34,28,18,28,29,,,18,26,23,44,33
2023-05-16T04:03:00-05:00,21,29,18,,66,64,69,26,34,30,16,56,31,,,18,28,55,60,53
2023-05-16T05:03:00-05:00,21,30,18,,59,63,88,33,34,,17,47,41,,,18,38,58,52,55
2023-05-16T06:03:00-05:00,21,37,18,,77,61,97,33,34,37,19,51,50,,,17,42,53,59,67
2023-05-16T07:03:00-05:00,21,48,18,,90,,100,42,34,43,24,54,38,,,18,50,48,60,80
2023-05-16T08:03:00-05:00,21,52,28,,86,,95,55,34,42,39,75,46,,,22,44,54,60,83
2023-05-16T09:03:00-05:00,21,59,20,,78,,85,64,34,69,,85,55,,,20,59,57,66,100
2023-05-16T10:03:00-05:00,28,,24,,78,,75,,34,77,,84,,,,22,70,53,57,95
2023-05-16T11:03:00-05:00,30,59,29,,59,,55,63,34,69,57,64,55,,,25,65,43,50,71
2023-05-16T12:03:00-05:00,,59,,,59,,50,61,34,70,59,58,52,,,,62,42,41,60
2023-05-16T13:03:00-05:00,,52,,,54,48,44,54,34,64,55,54,40,,,,49,33,36,57
2023-05-16T14:03:00-05:00,,37,38,,41,37,50,38,34,42,36,35,31,,,,35,33,28,41
2023-05-16T15:03:00-05:00,42,16,32,28,32,19,36,11,34,8,11,13,27,,,25,29,13,16,18
2023-05-16T16:03:00-05:00,41,18,31,24,33,19,26,14,34,6,8,15,18,,,25,20,16,17,19
2023-05-16T17:03:00-05:00,32,13,19,18,20,13,17,7,34,5,6,6,25,,,18,25,10,13,10
2023-05-16T18:03:00-05:00,21,14,14,23,16,14,13,13,34,5,8,5,15,,,13,,6,14,8
2023-05-16T19:03:00-05:00,16,11,16,22,15,17,11,8,34,4,8,7,14,,,14,13,5,11,14
2023-05-16T20:03:00-05:00,19,34,18,,13,25,16,22,34,0,5,12,25,17,17,17,37,7,16,12
2023-05-16T21:03:00-05:00,24,28,20,,29,18,16,16,34,0,3,16,39,9,9,19,43,7,14,18
2023-05-16T22:03:00-05:00,21,29,20,,12,45,28,21,34,0,6,7,40,29,29,19,46,20,40,5
