DATETIME,TANGARA_25CE,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_2492,TANGARA_2822,TANGARA_2E9A,TANGARA_307A,TANGARA_333E,TANGARA_3782,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-22T00:36:00-05:00,21,,17,55,25,13,34,13,17,,46,13,34,13
2023-05-22T00:36:30-05:00,17,,17,55,30,9,34,17,17,,46,21,38,13
2023-05-22T00:37:00-05:00,17,,17,53,30,13,34,13,17,,46,17,38,17
2023-05-22T00:37:30-05:00,13,,17,53,25,9,34,13,17,,42,17,38,17
2023-05-22T00:38:00-05:00,13,,17,53,25,9,34,17,17,,42,17,34,17
2023-05-22T00:38:30-05:00,13,,17,53,25,9,34,17,13,,42,21,38,17
2023-05-22T00:39:00-05:00,13,,21,53,21,9,34,13,17,,38,21,34,
2023-05-22T00:39:30-05:00,,,17,58,25,13,34,13,17,,38,13,34,13
2023-05-22T00:40:00-05:00,,,17,53,25,9,34,13,17,,42,13,30,13
2023-05-22T00:40:30-05:00,34,,17,55,30,9,34,17,17,,42,17,30,13
2023-05-22T00:41:00-05:00,21,,17,55,25,13,34,13,17,,42,13,34,13
2023-05-22T00:41:30-05:00,17,,13,53,25,9,34,13,13,,46,9,38,17
2023-05-22T00:42:00-05:00,17,,17,53,25,13,34,17,13,,46,13,42,13
2023-05-22T00:42:30-05:00,13,,17,53,30,9,34,17,17,,46,13,42,13
2023-05-22T00:43:00-05:00,17,,17,53,30,9,34,13,17,,50,9,42,17
2023-05-22T00:43:30-05:00,17,,17,53,25,9,34,13,17,,46,13,42,13
2023-05-22T00:44:00-05:00,13,,17,55,21,9,34,13,13,,46,13,38,13
2023-05-22T00:44:30-05:00,13,,17,53,21,9,34,13,13,,42,13,38,17
2023-05-22T00:45:00-05:00,17,,17,53,30,9,34,13,13,,42,13,34,17
2023-05-22T00:45:30-05:00,13,,17,53,38,9,34,17,13,,42,13,38,17
2023-05-22T00:46:00-05:00,17,,17,53,38,9,34,13,17,,46,13,38,17
2023-05-22T00:46:30-05:00,13,,17,50,38,9,34,13,17,,42,17,38,17
2023-05-22T00:47:00-05:00,13,,21,50,34,13,34,17,17,,46,21,38,
2023-05-22T00:47:30-05:00,13,,17,50,38,13,34,13,17,,46,9,38,17
2023-05-22T00:48:00-05:00,13,,21,50,34,9,34,13,13,,50,17,34,13
2023-05-22T00:48:30-05:00,13,,17,50,25,9,34,13,17,,53,13,34,21
2023-05-22T00:49:00-05:00,17,,21,50,25,9,34,13,17,,55,17,38,17
2023-05-22T00:49:30-05:00,13,,25,50,21,9,34,13,13,,58,13,42,17
2023-05-22T00:50:00-05:00,17,,25,46,25,9,34,17,17,,55,13,38,17
2023-05-22T00:50:30-05:00,13,,42,42,25,9,34,13,13,,55,13,46,13
2023-05-22T00:51:00-05:00,13,,34,42,30,9,34,13,17,,58,13,42,17
2023-05-22T00:51:30-05:00,17,,30,42,30,9,34,13,17,,60,13,38,17
2023-05-22T00:52:00-05:00,13,,34,42,30,9,34,13,17,,58,9,42,17
2023-05-22T00:52:30-05:00,13,,34,42,30,9,34,13,13,,55,9,42,17
2023-05-22T00:53:00-05:00,13,,34,42,34,17,34,13,17,,60,13,42,13
2023-05-22T00:53:30-05:00,17,,25,42,34,13,34,13,17,,58,13,42,17
2023-05-22T00:54:00-05:00,13,,21,42,34,13,34,13,17,,60,17,38,13
2023-05-22T00:54:30-05:00,17,,17,38,30,9,34,13,17,,58,17,38,13
2023-05-22T00:55:00-05:00,13,,17,42,25,9,34,13,13,,55,5,38,13
2023-05-22T00:55:30-05:00,13,,17,42,21,13,34,9,13,,53,9,42,13
2023-05-22T00:56:00-05:00,17,,17,38,17,13,34,13,17,,50,9,42,17
2023-05-22T00:56:30-05:00,17,,17,42,17,13,34,9,17,,53,9,42,17
2023-05-22T00:57:00-05:00,17,,17,42,21,13,34,13,17,,58,5,42,13
2023-05-22T00:57:30-05:00,17,,17,42,17,13,34,13,17,,,9,42,13
2023-05-22T00:58:00-05:00,17,,17,46,17,13,34,13,17,,53,9,42,13
2023-05-22T00:58:30-05:00,13,,21,42,17,13,34,13,17,,53,9,42,17
2023-05-22T00:59:00-05:00,13,,25,42,21,13,34,13,17,,53,5,46,13
2023-05-22T00:59:30-05:00,13,,25,38,17,13,34,13,17,,50,13,42,13
2023-05-22T01:00:00-05:00,17,,21,46,13,13,34,13,17,,50,9,46,13
2023-05-22T01:00:30-05:00,13,,21,42,21,13,34,13,13,,50,13,42,17
2023-05-22T01:01:00-05:00,17,,17,46,17,13,34,9,17,,50,13,42,13
2023-05-22T01:01:30-05:00,17,,17,60,17,9,34,13,13,,46,13,38,13
2023-05-22T01:02:00-05:00,17,,13,,17,13,34,13,17,,50,13,38,13
2023-05-22T01:02:30-05:00,13,,17,60,17,13,34,13,13,,50,9,42,13
2023-05-22T01:03:00-05:00,17,,17,58,17,9,34,13,17,,46,17,42,13
2023-05-22T01:03:30-05:00,13,,21,58,17,9,34,13,17,,42,17,42,13
2023-05-22T01:04:00-05:00,17,,21,55,17,13,34,13,13,,46,13,42,9
2023-05-22T01:04:30-05:00,17,,17,53,17,9,34,13,17,,46,17,42,13
2023-05-22T01:05:00-05:00,17,,21,46,17,9,34,13,17,,42,25,38,13
2023-05-22T01:05:30-05:00,17,,17,46,17,9,34,9,17,,42,21,38,17
2023-05-22T01:06:00-05:00,13,,21,46,21,13,34,13,17,,42,13,38,13
2023-05-22T01:06:30-05:00,21,,17,46,17,9,34,13,17,,42,13,42,13
2023-05-22T01:07:00-05:00,13,,17,42,17,9,34,13,13,,42,9,38,13
2023-05-22T01:07:30-05:00,13,,21,46,21,9,34,13,17,,42,17,38,13
2023-05-22T01:08:00-05:00,13,,17,42,17,13,34,13,13,,38,13,38,13
2023-05-22T01:08:30-05:00,13,,17,42,17,13,34,13,13,,42,13,38,13
2023-05-22T01:09:00-05:00,13,,17,42,17,13,34,13,17,,38,5,30,17
2023-05-22T01:09:30-05:00,13,,17,46,17,13,34,9,13,,38,9,30,13
2023-05-22T01:10:00-05:00,9,,17,46,21,13,34,9,17,,38,13,30,13
2023-05-22T01:10:30-05:00,13,,17,42,21,13,34,13,13,,42,9,34,17
2023-05-22T01:11:00-05:00,13,,13,42,25,13,34,13,17,,38,9,38,17
2023-05-22T01:11:30-05:00,13,,25,42,25,13,34,9,13,,38,13,34,13
2023-05-22T01:12:00-05:00,17,,21,46,25,13,34,13,17,,42,13,34,13
2023-05-22T01:12:30-05:00,17,,17,46,21,13,34,13,17,,38,9,34,17
2023-05-22T01:13:00-05:00,13,,21,46,21,13,34,13,17,,42,9,30,17
2023-05-22T01:13:30-05:00,13,,21,50,21,13,34,13,13,,38,9,30,17
2023-05-22T01:14:00-05:00,13,,17,46,25,13,34,9,17,,38,9,34,13
2023-05-22T01:14:30-05:00,13,,17,46,25,13,34,13,17,,38,5,30,13
2023-05-22T01:15:00-05:00,13,,17,46,30,13,34,9,13,,38,5,34,13
2023-05-22T01:15:30-05:00,13,,17,46,21,13,34,13,17,,38,9,30,13
2023-05-22T01:16:00-05:00,13,,17,50,21,13,34,9,17,,38,9,30,13
2023-05-22T01:16:30-05:00,17,,17,46,21,13,34,13,17,,38,13,34,17
2023-05-22T01:17:00-05:00,17,,17,46,25,13,34,9,13,,38,13,30,13
2023-05-22T01:17:30-05:00,17,,17,46,17,13,34,13,17,,42,9,34,13
2023-05-22T01:18:00-05:00,17,,17,46,21,13,34,13,13,,38,9,30,13
2023-05-22T01:18:30-05:00,17,,17,42,21,13,34,13,17,,38,13,34,13
2023-05-22T01:19:00-05:00,17,,17,46,17,13,34,9,17,,38,9,30,13
2023-05-22T01:19:30-05:00,17,,17,46,21,17,34,9,13,,42,5,30,17
2023-05-22T01:20:00-05:00,17,,17,46,17,13,34,13,13,,38,9,30,17
2023-05-22T01:20:30-05:00,17,,17,46,17,13,34,9,13,,38,17,30,13
2023-05-22T01:21:00-05:00,17,,17,42,17,13,34,9,13,,42,,30,13
2023-05-22T01:21:30-05:00,17,,17,42,21,13,34,13,13,,38,13,30,13
2023-05-22T01:22:00-05:00,17,,17,46,17,13,34,13,13,,42,9,30,13
2023-05-22T01:22:30-05:00,13,,17,42,17,13,34,13,13,,42,9,30,13
2023-05-22T01:23:00-05:00,17,,17,42,17,17,34,13,13,,46,9,30,13
2023-05-22T01:23:30-05:00,17,,17,42,17,13,34,9,13,,42,9,30,13
2023-05-22T01:24:00-05:00,17,,17,42,21,13,34,9,13,,46,9,30,13
2023-05-22T01:24:30-05:00,17,,17,42,25,13,34,9,13,,42,13,30,13
2023-05-22T01:25:00-05:00,13,,17,42,34,13,34,13,13,,46,5,30,13
2023-05-22T01:25:30-05:00,13,,17,42,34,13,34,13,13,,46,5,34,13
2023-05-22T01:26:00-05:00,17,,17,38,34,13,34,13,13,,46,5,34,13
2023-05-22T01:26:30-05:00,17,,17,42,38,9,34,9,13,,46,5,30,13
2023-05-22T01:27:00-05:00,17,,17,38,38,13,34,9,13,,42,5,30,13
2023-05-22T01:27:30-05:00,13,,13,42,34,13,34,9,13,,46,9,30,13
2023-05-22T01:28:00-05:00,17,,17,42,34,13,34,9,13,,42,5,30,13
2023-05-22T01:28:30-05:00,17,,17,42,34,13,34,9,13,,46,13,30,13
2023-05-22T01:29:00-05:00,17,,17,42,34,13,34,9,13,,53,5,34,13
2023-05-22T01:29:30-05:00,13,,17,42,30,13,34,9,13,,53,9,34,13
2023-05-22T01:30:00-05:00,17,,17,46,30,13,34,9,13,,53,13,30,13
2023-05-22T01:30:30-05:00,13,,17,42,30,13,34,9,17,,55,9,30,13
2023-05-22T01:31:00-05:00,17,,17,42,25,13,34,13,17,,55,13,30,13
2023-05-22T01:31:30-05:00,17,,17,42,21,13,34,9,17,,55,9,30,13
2023-05-22T01:32:00-05:00,17,,17,50,21,13,34,13,13,,58,9,30,13
2023-05-22T01:32:30-05:00,17,,17,50,25,13,34,9,13,,55,9,30,13
2023-05-22T01:33:00-05:00,17,,17,46,21,13,34,13,13,,55,9,34,13
2023-05-22T01:33:30-05:00,17,,17,42,21,13,34,13,13,,55,9,30,13
2023-05-22T01:34:00-05:00,17,,17,46,21,13,34,13,13,,58,9,34,13
2023-05-22T01:34:30-05:00,17,,17,46,21,9,34,9,13,,53,9,30,9
2023-05-22T01:35:00-05:00,17,,17,50,21,13,34,13,13,,53,9,30,13
2023-05-22T01:35:30-05:00,13,,17,46,21,13,34,9,13,,55,9,30,13
2023-05-22T01:36:00-05:00,17,,17,50,17,13,34,9,17,,55,9,30,13
2023-05-22T01:36:30-05:00,17,,17,46,21,13,34,9,17,,55,9,30,13
2023-05-22T01:37:00-05:00,17,,17,50,25,13,34,9,13,,53,13,30,17
2023-05-22T01:37:30-05:00,17,,25,50,21,13,34,9,13,,55,5,30,13
2023-05-22T01:38:00-05:00,17,,25,50,21,13,34,9,17,,53,13,34,13
2023-05-22T01:38:30-05:00,17,,30,50,25,13,34,9,13,,53,9,30,13
2023-05-22T01:39:00-05:00,17,,25,50,25,13,34,9,13,,53,17,30,17
2023-05-22T01:39:30-05:00,21,,25,46,25,13,34,9,17,,53,13,30,17
2023-05-22T01:40:00-05:00,17,,21,50,21,9,34,9,17,,50,13,34,17
2023-05-22T01:40:30-05:00,13,,17,50,21,9,34,9,13,,46,9,30,13
2023-05-22T01:41:00-05:00,17,,17,46,25,9,34,9,13,,50,13,25,13
2023-05-22T01:41:30-05:00,17,,17,46,25,13,34,13,17,,46,13,30,13
2023-05-22T01:42:00-05:00,17,,17,46,25,9,34,9,17,,42,5,34,13
2023-05-22T01:42:30-05:00,17,,17,46,25,9,34,9,21,,53,9,30,13
2023-05-22T01:43:00-05:00,17,,17,50,25,9,34,13,21,,46,13,25,17
2023-05-22T01:43:30-05:00,17,,13,50,25,13,34,9,21,,46,9,25,13
2023-05-22T01:44:00-05:00,17,,17,50,25,13,34,9,21,,,5,25,13
2023-05-22T01:44:30-05:00,17,,17,50,25,13,34,9,21,,46,9,25,13
2023-05-22T01:45:00-05:00,17,,13,50,25,9,34,9,21,,38,5,25,13
2023-05-22T01:45:30-05:00,17,,13,53,25,13,34,9,21,,50,5,30,13
2023-05-22T01:46:00-05:00,17,,13,46,25,13,34,9,17,,55,5,30,17
2023-05-22T01:46:30-05:00,21,,17,46,30,13,34,9,21,,53,,30,13
2023-05-22T01:47:00-05:00,17,,17,42,42,9,34,9,21,,50,5,25,13
2023-05-22T01:47:30-05:00,17,,17,46,38,13,34,9,21,,,9,30,13
2023-05-22T01:48:00-05:00,17,,17,46,50,13,34,13,21,,46,5,30,13
2023-05-22T01:48:30-05:00,17,,17,42,50,13,34,9,21,,46,0,30,13
2023-05-22T01:49:00-05:00,13,,17,42,46,9,34,9,21,,50,5,30,13
2023-05-22T01:49:30-05:00,17,,17,46,46,13,34,9,17,,50,5,30,17
2023-05-22T01:50:00-05:00,17,,17,46,42,13,34,13,21,,,5,30,13
2023-05-22T01:50:30-05:00,17,,17,50,34,13,34,9,17,,55,5,30,13
2023-05-22T01:51:00-05:00,13,,17,50,30,13,34,9,21,,55,5,25,17
2023-05-22T01:51:30-05:00,13,,21,50,30,13,34,9,17,,53,,30,17
2023-05-22T01:52:00-05:00,17,,21,50,30,9,34,9,21,,50,5,34,17
2023-05-22T01:52:30-05:00,17,,17,46,30,9,34,9,21,,50,9,30,13
2023-05-22T01:53:00-05:00,13,,21,46,38,9,34,9,21,,50,9,34,13
2023-05-22T01:53:30-05:00,13,,30,50,34,13,34,9,17,,50,,30,13
2023-05-22T01:54:00-05:00,17,,25,50,30,13,34,9,17,,46,5,30,13
2023-05-22T01:54:30-05:00,17,,25,50,38,9,34,9,17,,50,9,30,17
2023-05-22T01:55:00-05:00,17,,30,,38,9,34,9,17,,46,9,30,13
2023-05-22T01:55:30-05:00,13,,30,50,38,9,34,9,17,,50,5,30,13
2023-05-22T01:56:00-05:00,13,,25,53,42,13,34,9,21,,46,5,30,17
2023-05-22T01:56:30-05:00,13,,30,53,38,9,34,9,21,,50,9,34,17
2023-05-22T01:57:00-05:00,13,,38,50,34,9,34,9,17,,50,9,30,17
2023-05-22T01:57:30-05:00,17,,34,50,30,13,34,9,17,,50,13,30,17
2023-05-22T01:58:00-05:00,13,,34,50,25,13,34,9,17,,50,13,30,17
2023-05-22T01:58:30-05:00,13,,42,53,25,9,34,9,25,,50,9,30,17
2023-05-22T01:59:00-05:00,13,,42,46,25,9,34,9,25,,50,9,30,17
2023-05-22T01:59:30-05:00,13,,38,46,21,9,34,13,25,,50,9,30,17
2023-05-22T02:00:00-05:00,17,,42,42,21,13,34,13,21,,53,0,25,17
2023-05-22T02:00:30-05:00,17,,38,46,17,9,34,9,21,,53,5,25,17
2023-05-22T02:01:00-05:00,13,,38,46,17,9,34,9,21,,55,9,25,17
2023-05-22T02:01:30-05:00,13,,38,46,17,9,34,9,21,,53,9,25,17
2023-05-22T02:02:00-05:00,17,,38,42,17,9,34,13,25,,53,0,25,13
2023-05-22T02:02:30-05:00,17,,38,42,17,9,34,9,25,,,5,30,13
2023-05-22T02:03:00-05:00,13,,38,42,17,9,34,9,21,,58,9,25,17
2023-05-22T02:03:30-05:00,17,,38,42,13,9,34,9,25,,58,9,25,13
2023-05-22T02:04:00-05:00,17,,38,42,17,9,34,9,21,,53,9,21,17
