DATETIME,TANGARA_25CE,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_1EE6,TANGARA_2492,TANGARA_2822,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_307A,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-14T00:00:00-05:00,42,,,,17,,34,30,,21,21,17,,25,
2023-05-14T00:00:30-05:00,38,38,25,53,17,30,34,30,30,21,25,17,0,25,38
2023-05-14T00:01:00-05:00,34,30,30,25,17,30,34,34,25,21,21,17,9,30,17
2023-05-14T00:01:30-05:00,30,34,30,25,13,30,34,30,30,21,21,17,17,25,21
2023-05-14T00:02:00-05:00,34,30,34,25,13,30,34,34,25,17,21,21,21,30,50
2023-05-14T00:02:30-05:00,34,34,30,25,13,30,34,30,30,21,17,21,17,30,62
2023-05-14T00:03:00-05:00,34,30,34,,13,30,34,30,30,21,17,21,21,30,30
2023-05-14T00:03:30-05:00,30,34,30,34,13,30,34,34,30,21,17,13,17,30,66
2023-05-14T00:04:00-05:00,30,30,34,30,17,30,34,30,25,21,21,17,25,34,38
2023-05-14T00:04:30-05:00,30,25,34,25,17,30,34,34,25,17,21,21,25,,25
2023-05-14T00:05:00-05:00,25,25,30,25,17,30,34,30,25,21,21,17,17,30,42
2023-05-14T00:05:30-05:00,25,25,34,30,17,30,34,30,25,21,17,17,21,,
2023-05-14T00:06:30-05:00,25,21,42,30,17,30,34,30,30,21,17,17,21,,30
2023-05-14T00:07:00-05:00,25,25,42,25,17,30,34,30,30,17,21,17,30,30,25
2023-05-14T00:07:30-05:00,25,21,46,25,25,34,34,30,30,21,21,17,21,34,62
2023-05-14T00:08:00-05:00,25,25,38,25,25,34,34,30,25,21,21,17,30,34,34
2023-05-14T00:08:30-05:00,30,25,38,25,30,25,34,30,25,21,21,17,25,,25
2023-05-14T00:09:00-05:00,25,25,42,21,30,30,34,30,30,21,21,17,21,30,
2023-05-14T00:09:30-05:00,25,25,42,21,30,30,34,25,30,17,21,17,30,34,38
2023-05-14T00:10:00-05:00,25,25,38,21,30,30,34,25,25,17,21,21,13,,38
2023-05-14T00:10:30-05:00,25,25,55,21,25,30,34,25,21,21,21,17,17,30,30
2023-05-14T00:11:00-05:00,25,25,66,21,21,30,34,21,30,17,21,17,21,30,25
2023-05-14T00:11:30-05:00,25,25,60,25,21,25,34,25,30,21,21,17,21,34,25
2023-05-14T00:12:00-05:00,25,25,60,30,21,25,34,25,30,17,17,17,30,34,21
2023-05-14T00:12:30-05:00,25,25,58,25,17,25,34,25,25,21,21,17,13,34,53
2023-05-14T00:13:00-05:00,25,25,55,25,25,25,34,25,30,21,17,17,17,30,42
2023-05-14T00:13:30-05:00,25,25,46,25,21,25,34,21,30,21,25,21,30,34,34
