DATETIME,TANGARA_25CE,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_2492,TANGARA_2822,TANGARA_2E9A,TANGARA_307A,TANGARA_333E,TANGARA_3782,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-22T00:00:00-05:00,99.61,,,,,,70.44,,74.53,,76.52,,73.66,
2023-05-22T00:00:30-05:00,99.61,,73.34,76.61,79.76,62.33,70.36,65.66,74.88,,76.77,99.9,73.57,78.87
2023-05-22T00:01:00-05:00,99.61,,73.57,76.79,78.88,62.41,70.52,65.75,74.84,,76.57,99.9,73.64,78.61
2023-05-22T00:01:30-05:00,99.61,75.41,73.4,77.28,80.04,62.35,70.68,65.65,74.7,,76.39,99.9,73.67,79.01
2023-05-22T00:02:00-05:00,99.61,76.09,73.61,77.28,80.35,62.47,70.61,65.8,74.76,,76.54,99.9,73.67,79.01
2023-05-22T00:02:30-05:00,99.61,75.41,73.87,76.76,80.6,62.4,70.69,65.84,74.65,,76.45,99.9,73.85,79.12
2023-05-22T00:03:00-05:00,99.61,,73.94,76.86,79.54,62.46,70.4,66.02,74.75,,76.53,99.9,73.82,78.65
2023-05-22T00:03:30-05:00,99.61,,74.02,77.16,79.37,62.52,70.49,65.87,74.81,,76.6,99.9,73.86,78.39
2023-05-22T00:04:00-05:00,99.61,,73.94,77.33,79.71,62.6,70.57,65.83,74.96,,76.52,99.9,73.89,78.41
2023-05-22T00:04:30-05:00,99.61,,73.87,76.84,80.17,62.66,70.63,65.87,74.9,,76.61,99.9,74.05,78.47
2023-05-22T00:05:00-05:00,99.61,,73.76,77.02,80.17,62.68,70.63,65.9,74.9,,76.57,99.9,74.24,78.42
2023-05-22T00:05:30-05:00,99.61,,73.68,77.19,80.2,62.81,70.6,66.02,75.08,,76.52,99.9,74.38,78.18
2023-05-22T00:06:00-05:00,99.61,,73.94,77.25,79.25,62.67,70.51,66.28,75.58,,76.53,99.9,74.51,78.03
2023-05-22T00:06:30-05:00,99.61,,74.03,76.93,79.82,62.69,70.76,66.32,75.81,,76.28,99.9,74.51,78.25
2023-05-22T00:07:00-05:00,99.61,,74.08,76.91,79.28,62.88,70.54,65.98,75.45,,76.13,99.9,74.72,78.43
2023-05-22T00:07:30-05:00,99.61,,74.11,76.75,79.23,62.75,70.67,66.35,75.39,,76.01,99.9,75.01,78.42
2023-05-22T00:08:00-05:00,99.61,,74.0,76.58,79.71,62.71,70.72,66.28,75.49,,75.97,99.9,74.99,77.72
2023-05-22T00:08:30-05:00,99.61,,73.98,77.14,79.89,62.79,70.62,66.34,75.19,,75.78,99.9,75.01,77.4
2023-05-22T00:09:00-05:00,99.61,,74.11,77.23,79.52,62.8,70.84,66.02,75.12,,75.69,99.9,74.93,77.31
2023-05-22T00:09:30-05:00,99.61,,74.09,77.19,78.98,62.61,70.91,65.92,75.13,,75.56,99.9,74.6,77.46
2023-05-22T00:10:00-05:00,99.61,,74.15,76.87,79.27,62.62,70.97,65.94,75.13,,75.45,99.9,74.33,77.47
2023-05-22T00:10:30-05:00,99.61,,74.09,76.62,80.16,62.55,70.93,66.01,75.04,,75.38,99.9,74.15,77.42
2023-05-22T00:11:00-05:00,99.61,,74.21,77.3,80.63,62.55,70.97,66.19,75.08,,75.27,99.9,74.15,77.48
2023-05-22T00:11:30-05:00,99.61,,74.56,77.06,80.17,62.54,71.09,66.2,75.07,,75.17,99.9,74.04,77.73
2023-05-22T00:12:00-05:00,99.61,,74.48,77.0,80.11,62.55,71.13,65.98,74.99,,75.03,99.9,74.0,77.45
2023-05-22T00:12:30-05:00,99.61,,74.4,77.05,80.1,62.67,71.19,65.97,74.87,,74.94,99.9,73.94,77.68
2023-05-22T00:13:00-05:00,99.61,,74.52,77.43,80.26,62.99,71.04,66.25,74.92,,74.74,99.9,73.92,77.04
2023-05-22T00:13:30-05:00,99.61,,74.62,76.9,80.31,62.97,71.35,66.2,75.02,,74.65,99.9,74.06,77.19
2023-05-22T00:14:00-05:00,99.61,,74.57,77.41,80.1,62.91,71.34,66.33,74.97,,74.56,99.9,73.81,77.23
2023-05-22T00:14:30-05:00,99.61,,74.61,77.52,80.07,62.67,71.31,66.09,75.14,,74.39,99.9,73.68,77.17
2023-05-22T00:15:00-05:00,99.61,,74.68,76.84,80.21,62.64,71.14,66.11,75.05,,74.33,99.9,73.53,76.18
2023-05-22T00:15:30-05:00,99.61,,74.74,77.23,80.07,62.63,71.36,66.07,74.94,,74.27,99.9,73.48,76.4
2023-05-22T00:16:00-05:00,99.61,,74.79,76.8,80.21,62.77,71.3,65.85,74.95,,74.07,99.9,73.48,76.27
2023-05-22T00:16:30-05:00,99.61,,74.96,77.33,80.05,62.68,71.14,66.12,75.24,,74.06,99.9,73.66,76.5
2023-05-22T00:17:00-05:00,99.61,,75.25,77.63,79.8,63.12,71.24,66.11,75.28,,73.96,99.9,73.64,76.9
2023-05-22T00:17:30-05:00,99.61,,75.41,77.27,80.23,63.13,71.31,66.12,75.47,,73.85,99.9,73.63,77.06
2023-05-22T00:18:00-05:00,99.61,,75.4,77.34,80.0,62.77,71.31,66.13,75.39,,73.87,99.9,73.77,77.42
2023-05-22T00:18:30-05:00,99.61,,75.41,76.87,80.25,62.8,71.32,66.04,75.42,,73.78,99.9,73.86,76.47
2023-05-22T00:19:00-05:00,99.61,,75.44,77.08,79.94,62.83,71.38,65.99,75.44,,73.68,99.9,73.84,76.33
2023-05-22T00:19:30-05:00,99.61,,75.5,76.65,79.93,62.74,71.49,65.99,75.42,,73.5,99.9,73.94,77.43
2023-05-22T00:20:00-05:00,99.61,,75.52,76.47,79.82,62.68,71.69,66.01,75.32,,73.65,99.9,73.96,77.47
2023-05-22T00:20:30-05:00,99.61,,75.51,76.46,80.14,62.72,71.85,66.26,75.29,,73.61,99.9,73.96,77.33
2023-05-22T00:21:00-05:00,99.61,,75.25,76.96,79.88,62.61,71.74,66.09,75.29,,73.44,99.9,73.94,77.42
2023-05-22T00:21:30-05:00,99.61,,75.15,76.62,79.34,62.52,71.71,65.9,75.24,,73.26,99.9,73.79,77.48
