DATETIME,TANGARA_25CE,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_2492,TANGARA_2822,TANGARA_2E9A,TANGARA_307A,TANGARA_3782,TANGARA_F212,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-21T00:00:00-05:00,30,,,,,,34,,9,25,,,17,
2023-05-21T00:00:30-05:00,30,,38,30,34,,34,,9,21,,0,13,34
2023-05-21T00:01:00-05:00,,,25,30,38,,34,,9,17,,0,17,21
2023-05-21T00:01:30-05:00,,25,30,30,38,,34,74,9,21,,25,17,21
2023-05-21T00:02:00-05:00,,25,30,30,42,,34,,9,17,,30,17,17
2023-05-21T00:02:30-05:00,30,34,30,30,46,,34,74,9,13,,34,17,17
2023-05-21T00:03:00-05:00,30,30,30,34,46,,34,74,9,17,,34,17,21
2023-05-21T00:03:30-05:00,30,30,30,30,50,,34,72,9,17,,25,17,17
2023-05-21T00:04:00-05:00,30,34,30,30,46,,34,74,9,17,,34,17,17
2023-05-21T00:04:30-05:00,30,34,25,30,42,,34,70,9,13,,34,17,17
2023-05-21T00:05:00-05:00,30,30,25,30,38,,34,70,9,13,,25,17,17
2023-05-21T00:05:30-05:00,,38,25,30,38,,34,68,5,13,,30,13,21
2023-05-21T00:06:00-05:00,30,34,21,30,38,,34,68,9,13,,34,17,21
2023-05-21T00:06:30-05:00,,30,30,25,38,,34,68,9,13,,42,13,17
2023-05-21T00:07:00-05:00,30,34,30,30,42,,34,64,9,13,,42,17,17
2023-05-21T00:07:30-05:00,30,25,30,30,38,,34,66,9,13,,30,17,17
2023-05-21T00:08:00-05:00,25,30,25,25,42,,34,70,9,13,,30,13,17
2023-05-21T00:08:30-05:00,30,30,25,25,38,,34,68,9,13,,30,17,17
2023-05-21T00:09:00-05:00,,30,25,30,34,,34,66,9,13,,34,17,17
2023-05-21T00:09:30-05:00,30,30,25,25,34,,34,68,13,13,,34,13,13
2023-05-21T00:10:00-05:00,25,30,25,25,34,,34,66,9,13,,25,17,21
2023-05-21T00:10:30-05:00,30,34,25,25,34,,34,66,9,13,,38,17,17
2023-05-21T00:11:00-05:00,30,34,25,21,34,,34,66,9,13,,34,17,17
2023-05-21T00:11:30-05:00,30,38,25,21,30,,34,64,9,13,,38,17,17
2023-05-21T00:12:00-05:00,30,34,25,25,30,,34,64,9,13,,34,17,17
2023-05-21T00:12:30-05:00,30,34,25,25,34,,34,62,9,13,,30,13,17
2023-05-21T00:13:00-05:00,30,25,25,25,30,,34,62,9,13,,38,17,17
2023-05-21T00:13:30-05:00,25,30,30,25,30,,34,64,9,13,,34,13,17
2023-05-21T00:14:00-05:00,30,30,25,30,30,,34,62,9,13,,42,17,17
2023-05-21T00:14:30-05:00,25,25,25,25,30,,34,62,9,17,,30,17,17
2023-05-21T00:15:00-05:00,25,25,25,30,30,,34,60,9,17,,30,17,17
2023-05-21T00:15:30-05:00,25,30,25,30,38,,34,60,9,17,,30,13,13
2023-05-21T00:16:00-05:00,25,34,25,30,50,,34,60,9,17,,42,13,13
2023-05-21T00:16:30-05:00,30,34,25,25,42,,34,60,9,17,,34,13,13
